# producer=CAELIX
# when=2026-02-24T18:09:29
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00B_heavy_walker_warmstart/20260224_180928 --n 512 --traffic-mode telegraph --traffic-iters 200 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --walker --walker-steps 64 --walker-tick-iters 200
# run_id=20260224_180928
# experiment=00B_heavy_walker_warmstart
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# walker_steps=64
# walker_hold_steps=0
# walker_tick_iters=200
# walker_hold_tick_iters=200
# walker_probe_r=0
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00B_heavy_walker_warmstart/20260224_180928/_csv/00B_heavy_walker_warmstart_n512_20260224_180928.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,linear,1.0,257.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8149192929267883,45.66359879076481,45.66671536117792,70515.72009647374,-4.4196817515992295e-08,-3.4124161753431484e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,2.0,258.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8147228956222534,45.66552945971489,45.66857502609491,103237.06000728215,-2.950070817407167e-08,-3.334533575568259e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,3.0,259.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8147577047348022,45.67753864824772,45.68028012663126,37823.26812426718,-7.248126667780436e-08,-3.0008141835090664e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,4.0,260.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8128918409347534,43.73222534917295,43.7384794279933,18884.81400932494,-3.311697333772866e-07,-7.149912460726289e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,5.0,261.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8127949237823486,43.705618815496564,43.70621522702277,28285.533694157457,-2.1085390597609543e-08,-6.823006664212526e-06,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,6.0,262.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8150169253349304,45.964846504852176,45.97131092660129,45285.26570010804,-1.427488974432487e-07,-7.031424773147298e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,7.0,263.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8141069412231445,45.2312775272876,45.00886362977326,80337.09008047862,2.7685082605249645e-06,0.0024646891578686096,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,8.0,264.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8141493201255798,44.95877602137625,44.964642671868205,57311.339502618015,-1.0236456769056853e-07,-6.524051884599407e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,9.0,265.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8147371411323547,45.59509337879717,45.60165813565254,27848.781347571872,-2.3572869395741058e-07,-7.19845471066849e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,10.0,266.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8127257227897644,43.57798397913575,43.59326174855232,33525.30507458323,-4.5570858736654134e-07,-0.00017526157036112922,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,11.0,267.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.814269483089447,45.17327955365181,45.1974111944437,43440.61160919518,-5.555087715842612e-07,-0.0002670295047224843,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,12.0,268.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8145998120307922,45.520540330559015,45.60642118006945,59922.33646934862,-1.4332026180981932e-06,-0.0009424307371470272,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,13.0,269.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8137009143829346,44.51992325484753,44.56679157726467,61660.753290781795,-7.600997379340606e-07,-0.0005260977745723915,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,14.0,270.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8144519925117493,45.4414865411818,45.44849605485797,39514.22908617896,-1.7739214045854378e-07,-7.712086058284573e-05,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,15.0,271.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8140327334403992,44.803208366036415,44.84607361070812,35299.39813959391,-1.2143335844477804e-06,-0.00047814375895192745,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,16.0,272.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8133233785629272,44.20822018943727,44.183561289682984,45097.12954649041,5.467953282672919e-07,0.00027897276581206155,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,17.0,273.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.814326286315918,45.33661143667996,45.38850495219231,51470.39871435586,-1.0082205852015936e-06,-0.0005719862104107652,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
move,linear,18.0,274.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8138824701309204,44.85297008417547,44.81060880608857,56434.35181709145,7.506293015324643e-07,0.0004724468798947302,200.0,0.005,0.5567764362830022,0.008980265101338744,0.0,,,,,,,,,,,,,
