# producer=CAELIX
# when=2026-02-24T18:25:30
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00C_heavy_walker_pacing_fast/20260224_182529 --n 512 --traffic-mode telegraph --traffic-iters 200 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --walker --walker-steps 64 --walker-tick-iters 100
# run_id=20260224_182529
# experiment=00C_heavy_walker_pacing_fast
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# walker_steps=64
# walker_hold_steps=0
# walker_tick_iters=100
# walker_hold_tick_iters=200
# walker_probe_r=0
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00C_heavy_walker_pacing_fast/20260224_182529/_csv/00C_heavy_walker_pacing_fast_n512_20260224_182529.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,linear,1.0,257.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8139260411262512,45.6715736836195,45.66476538404822,40966.32498003669,1.6619258804868303e-07,7.454097285672484e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,2.0,258.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8142275214195251,45.680961795151234,45.67235367000103,70515.72002843846,1.2207384604074258e-07,9.42289298026329e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,3.0,259.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8142651915550232,45.676699448376894,45.67160823196173,102673.15589942667,4.958663606438618e-08,5.5734107663853404e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,4.0,260.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8141002058982849,45.67947608232498,45.673880845308304,103237.059709706,5.4197950158704603e-08,6.124829130373537e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,5.0,261.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8142135143280029,45.6868092417717,45.679412700235844,70448.97040254259,1.0499147813787481e-07,8.095488002720559e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,6.0,262.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8142603635787964,45.69214065745473,45.685550168156624,37812.425128220115,1.7429427696735155e-07,7.2123613964843e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,7.0,263.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8141653537750244,45.469446843490005,45.638570096343756,22475.299409650677,-7.524849826077568e-06,-0.0018562938645172746,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,8.0,264.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8123376965522766,43.75689601711929,43.74767412990332,18857.696296658356,4.890251211440972e-07,0.0001053874923387144,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,9.0,265.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8122929334640503,43.685014959424734,43.708542585372925,21811.15402591193,-1.078696978630272e-06,-0.0002692146493307614,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,10.0,266.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.812308132648468,43.68402543850243,43.671113822609186,28241.774321490237,4.571814697711753e-07,0.00014780602495121354,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,11.0,267.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8133594393730164,44.93540929630399,44.97776102088392,36184.0456590642,-1.1704529940897057e-06,-0.00047102915435553083,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,12.0,268.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.814444899559021,46.0097944997251,45.93569730594754,45222.782510398596,1.6384925841421449e-06,0.0008058817493103985,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,13.0,269.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8147100806236267,46.02900756523013,45.93589340150356,70473.34501453218,1.3212678312256545e-06,0.0010124967541719993,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,14.0,270.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8141213059425354,45.416334787383676,45.21392564103007,80253.95743791395,2.5221079784157702e-06,0.002233350598318951,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,15.0,271.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8134881854057312,44.934327160939574,44.94810917042196,72269.2608003481,-1.907036176896574e-07,-0.0001533337328727347,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,16.0,272.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.813518226146698,44.983738062903285,45.0142752174288,57203.054804908024,-5.338378278863934e-07,-0.00033930920708659227,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,17.0,273.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8140823245048523,45.578855004161596,45.586199605837464,40840.594945561345,-1.798358149693474e-07,-8.05637829899615e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,18.0,274.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8141905665397644,45.57157330960035,45.56575760059059,27707.828805687674,2.098940718362158e-07,6.381258866904346e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,19.0,275.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8122818470001221,43.54144092835486,43.593663312494755,26722.091431926805,-1.9542775786442226e-06,-0.0005993265813459896,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,20.0,276.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8120846748352051,43.52006163820624,43.57227427512407,33347.38770131708,-1.565718951825643e-06,-0.0005995089736689135,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,21.0,277.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8135974407196045,45.15260503254831,45.208559937775135,41897.69247025641,-1.33551281533105e-06,-0.0006192362088868913,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,22.0,278.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8137020468711853,45.14951134286821,45.19967515207827,43225.077141328016,-1.160525614472526e-06,-0.000555221481854375,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,23.0,279.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8138587474822998,45.16995296627283,45.16891400143504,50565.4786162591,2.0546919879355423e-08,1.1500751256498577e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,24.0,280.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8140131235122681,45.51123506575823,45.538763208314776,59663.71125897394,-4.613883711836254e-07,-0.0003023409453966636,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,25.0,281.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8142239451408386,45.78200456686318,45.82111860625446,66184.33360177532,-5.909863749119932e-07,-0.0004269946049476774,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,26.0,282.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8132927417755127,44.53772385045886,44.59065130352974,61357.878189450916,-8.626024013975543e-07,-0.0005938339275167391,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,27.0,283.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8135517835617065,44.90843359567225,44.970806147903204,49523.88190537786,-1.2594439254605576e-06,-0.0006939594995340607,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
