# producer=CAELIX
# when=2026-02-24T20:18:48
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00G_heavy_walker_diffuse_baseline/20260224_201847 --n 512 --traffic-mode diffuse --traffic-iters 200 --traffic-decay 0.0 --walker --walker-steps 64 --walker-tick-iters 100
# run_id=20260224_201847
# experiment=00G_heavy_walker_diffuse_baseline
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=diffuse
# traffic_c2=0.25
# traffic_gamma=0.1
# traffic_dt=1.0
# traffic_decay=0.0
# walker_steps=64
# walker_hold_steps=0
# walker_tick_iters=100
# walker_hold_tick_iters=200
# walker_probe_r=0
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00G_heavy_walker_diffuse_baseline/20260224_201847/_csv/00G_heavy_walker_diffuse_baseline_n512_20260224_201847.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,linear,1.0,257.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.6548433303833,84.64930696645752,135.1834503239952,300.00002058506925,-0.16844713296680539,-0.22987540155705513,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,2.0,258.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.732861518859863,95.62821046402678,189.11620484292507,400.0000299306042,-0.23371996845879545,-0.3283224862483036,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,3.0,259.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.78034782409668,104.1951904669404,231.89248348027468,500.00003942255194,-0.25539456589005693,-0.3799523246823674,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,4.0,260.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.811655044555664,110.83005530294031,265.282470934093,600.0000275759049,-0.2574206808875737,-0.410654803700458,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,5.0,261.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.833340644836426,115.98113664798439,291.3506373167038,700.0000416338576,-0.2505278431975409,-0.4305323372193446,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,6.0,262.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.848891258239746,120.0030105765909,311.80797895789146,800.0000432116775,-0.23975619752629104,-0.4441873250796075,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,7.0,263.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.860332489013672,123.16404893621802,327.966184720397,900.0000428963062,-0.227557917803094,-0.4539756383077329,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,8.0,264.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.868919372558594,125.66508483700454,340.81193213164806,1000.0000414759699,-0.2151468383712195,-0.4612163932378709,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,9.0,265.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.875469207763672,127.65647598356009,351.08699229359627,1100.0000506264441,-0.20311864184260128,-0.46670196277369635,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,10.0,266.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.88053035736084,129.25141162984073,359.35216565430164,1200.0000637278542,-0.1917506181705044,-0.4709354673648812,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,11.0,267.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.884483337402344,130.53571240790188,366.0347236096859,1300.000069693574,-0.18115307582813736,-0.47425097049765264,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
