# producer=CAELIX
# when=2026-02-24T22:50:43
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00H_heavy_walker_diffuse_decay/20260224_225041 --n 512 --traffic-mode diffuse --traffic-iters 200 --traffic-decay 0.010 --walker --walker-steps 64 --walker-tick-iters 100
# run_id=20260224_225041
# experiment=00H_heavy_walker_diffuse_decay
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=diffuse
# traffic_c2=0.25
# traffic_gamma=0.1
# traffic_dt=1.0
# traffic_decay=0.01
# walker_steps=64
# walker_hold_steps=0
# walker_tick_iters=100
# walker_hold_tick_iters=200
# walker_probe_r=0
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00H_heavy_walker_diffuse_decay/20260224_225041/_csv/00H_heavy_walker_diffuse_decay_n512_20260224_225041.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,linear,1.0,257.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.757953643798828,26.029927944022347,35.0134859229438,94.14494846833314,-0.09542262357223652,-0.14716670333181986,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,2.0,258.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758661270141602,25.869168897057534,37.147070499835536,97.2228975914103,-0.11600046781340012,-0.17896817884905178,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,3.0,259.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758825302124023,25.845444009290077,37.69375275191851,98.34952367110802,-0.12047144002700413,-0.1864724350727357,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,4.0,260.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758867263793945,25.842480572973727,37.83339661336504,98.76190686292824,-0.12141235848183243,-0.18831175274274342,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,5.0,261.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758877754211426,25.84235340511077,37.86965127126314,98.91284986768227,-0.1215948977533395,-0.1887760073983705,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,6.0,262.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758881568908691,25.842462390617584,37.879257114604115,98.96810199685905,-0.12162297226199632,-0.1888962635887436,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,7.0,263.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758881568908691,25.842525616273633,37.88185247336514,98.98832523608606,-0.12162370490032767,-0.18892811853190683,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,8.0,264.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758882522583008,25.842551760040806,37.88256614818238,98.99573064895755,-0.12162155185091546,-0.18893671417731062,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,9.0,265.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758882522583008,25.842560323464568,37.88276462000795,98.99843930421224,-0.12162014251098366,-0.18893908045543026,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
move,linear,10.0,266.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.758882522583008,25.842563809957937,37.88282040413469,98.99943135472742,-0.12161945204548577,-0.18893972539617748,100.0,0.01,nan,nan,0.0,,,,,,,,,,,,,
