# producer=CAELIX
# when=2026-02-24T23:00:24
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00I_heavy_walker_telegraph_decay/20260224_230023 --n 512 --traffic-mode telegraph --traffic-iters 200 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.010 --walker --walker-steps 64 --walker-tick-iters 100
# run_id=20260224_230023
# experiment=00I_heavy_walker_telegraph_decay
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.01
# walker_steps=64
# walker_hold_steps=0
# walker_tick_iters=100
# walker_hold_tick_iters=200
# walker_probe_r=0
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00I_heavy_walker_telegraph_decay/20260224_230023/_csv/00I_heavy_walker_telegraph_decay_n512_20260224_230023.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,linear,1.0,257.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.812818169593811,44.04849408566952,44.049335703253746,18137.759553621705,-4.64014081640234e-08,-9.553215853840756e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,2.0,258.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8127740621566772,44.14320581033826,44.14279581978917,25548.752325915826,1.604738046920762e-08,4.643890781294724e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,3.0,259.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8128964304924011,44.208026111125946,44.2074637748301,32080.143158208666,1.7529108055094006e-08,6.360155856948317e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,4.0,260.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8129557371139526,44.25423080846667,44.25392559170723,35189.12201932251,8.673611102763154e-09,3.4484591235105645e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,5.0,261.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8129791021347046,44.28800966218114,44.28775602951646,35760.34751432529,7.092567111627701e-09,2.8634543850660912e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,6.0,262.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8130021095275879,44.31330352649093,44.31301722675562,35640.820304498164,8.032916550788818e-09,3.230414315684007e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,7.0,263.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.813022792339325,44.330747650936246,44.33203200623393,35538.79610534161,-3.613952745832114e-08,-1.4485845161304832e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,8.0,264.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8130056858062744,44.31466109678149,44.31451106257737,35454.836445736335,4.231699231077595e-09,1.6928309321860195e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,9.0,265.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8130010366439819,44.310041680932045,44.310342483222485,35376.767571748824,-8.502820101625688e-09,-3.3942787912362926e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
move,linear,10.0,266.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8129962682723999,44.30524095706642,44.305468732491136,35305.98092791113,-6.45146852551515e-09,-2.5705180052936284e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,,,,,,,,,,,,,
