# producer=CAELIX
# when=2026-02-24T23:19:08
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00J_heavy_walker_near_mach_hold/20260224_231907 --n 512 --traffic-mode telegraph --traffic-iters 200 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.010 --walker --walker-steps 64 --walker-tick-iters 2 --walker-hold-steps 64 --walker-hold-tick-iters 200
# run_id=20260224_231907
# experiment=00J_heavy_walker_near_mach_hold
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.01
# walker_steps=64
# walker_hold_steps=64
# walker_tick_iters=2
# walker_hold_tick_iters=200
# walker_probe_r=0
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00J_heavy_walker_near_mach_hold/20260224_231907/_csv/00J_heavy_walker_near_mach_hold_n512_20260224_231907.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,linear,1.0,257.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1079617738723755,39.00804890692234,47.72950143739581,10648.51659463044,-0.0008190298106753478,-0.10054990596174566,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,2.0,258.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0759252309799194,35.120448008179665,49.42685649357736,10799.532709509156,-0.0013247247700634934,-0.169211881676254,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,3.0,259.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1035860776901245,32.05931391566992,49.04123702691868,10950.756358205104,-0.0015507534416583622,-0.20939343708367805,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,4.0,260.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.128418207168579,29.720628932118416,49.047493455931544,11102.176984976559,-0.0017408175486633114,-0.2453640373525648,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,5.0,261.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1666123867034912,27.998647652566433,50.12779069831595,11253.78425483959,-0.0019663734922084606,-0.2832478161408378,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,6.0,262.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1766242980957031,26.783106192946434,52.268488770816475,11405.568062208626,-0.0022344685016008692,-0.32238922680247206,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,7.0,263.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.184525489807129,26.0336983371526,54.63086132565513,11557.518512259587,-0.0024743341711430714,-0.35451954499030836,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,8.0,264.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1956921815872192,25.68206869252026,56.35885999817401,11709.62591295236,-0.002619792599157352,-0.3739205759275246,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,9.0,265.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2027679681777954,25.66969302855432,57.30757744703442,11861.88078656402,-0.002667189545043852,-0.3812837447790879,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,10.0,266.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2108027935028076,25.976708190515637,57.78943480469752,12014.27385104443,-0.0026479108940417836,-0.37978024863815746,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
move,linear,11.0,267.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.213751196861267,26.54060225840658,57.942600253853016,12166.79602253695,-0.002580958695886698,-0.37169516615908627,2.0,0.5,0.5567764362830022,0.8980265101338745,0.0,,,,,,,,,,,,,
