# producer=CAELIX
# when=2026-02-24T23:40:08
# cwd=
# python=
# command= /core.py --out _Output/00_heavy_walker/00K_heavy_walker_circle_decay_anisotropy/20260224_234007 --n 512 --traffic-mode telegraph --traffic-iters 200 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.010 --walker --walker-path circle --walker-circle-radius 8 --walker-circle-period 0 --walker-probe-r 8 --walker-steps 256 --walker-tick-iters 100
# run_id=20260224_234007
# experiment=00K_heavy_walker_circle_decay_anisotropy
# artefact=walker_trace
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.01
# walker_steps=256
# walker_hold_steps=0
# walker_tick_iters=100
# walker_hold_tick_iters=200
# walker_probe_r=8
# walker_mach1=0
# dump_walker=/_Output/00_heavy_walker/00K_heavy_walker_circle_decay_anisotropy/20260224_234007/_csv/00K_heavy_walker_circle_decay_anisotropy_n512_20260224_234007.csv
# artefact=walker_trace
phase,path,t,x,y,z,cx,cy,cz,circle_radius,circle_period,step_dx,step_dy,step_dz,axis,sign,phi_max,front,back,total_field,hubble,asym,tick_iters,v_est,c_est,mach,stop_event,probe_r,phi_p0,phi_p1,phi_p2,phi_p3,vel_p0,vel_p1,vel_p2,vel_p3,dipole_mag_phi,dipole_ang_phi,dipole_mag_vel,dipole_ang_vel
move,circle,1.0,264.0,257.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.812818169593811,44.04849408566952,44.049335703253746,18137.7595536217,-4.640140816402341e-08,-9.553215853840756e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.2764733135700226,0.022981321439146996,0.013847907073795795,0.020344341173768044,0.004059111699461937,0.0010400227038189769,-0.000980357057414949,0.0009536500438116491,0.2626386449139356,0.010040504790111055,0.005040208883363368,0.01713756116764835
move,circle,2.0,264.0,258.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.8127740621566772,44.14320581033826,44.14279581978917,25548.75232591574,1.6047380469207677e-08,4.643890781294724e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.1358710378408432,0.023187357932329178,0.014665422961115837,0.017713118344545364,0.00011220011947443709,-0.0006531054968945682,0.0012376013910397887,-8.721905032871291e-05,0.12132917364524184,0.04513422830913633,0.0012596648333774508,-2.6756829522097187
move,circle,3.0,264.0,259.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.8128964304924011,44.208026111125946,44.2074637748301,32058.494756854256,1.754094507892933e-08,6.360155856948317e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.08795399963855743,0.02613145112991333,0.013693616725504398,0.017942562699317932,0.0020501797553151846,0.0011026962893083692,-0.0009935260750353336,0.0002988718042615801,0.07471052378428356,0.1098288987407601,0.00314805955859645,0.25819900129111095
move,circle,4.0,263.0,259.0,256.0,256.0,256.0,256.0,8.0,256.0,-1.0,0.0,0.0,0.0,-1.0,0.8130152225494385,44.251159416511655,44.251286467537284,35160.95785057261,-3.613411960191366e-09,-1.4355651344991917e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.0807880088686943,0.02835715562105179,0.014974318444728851,0.018052270635962486,0.0008573336526751518,0.0004203396965749562,0.00015465043543372303,0.0009743659175001085,0.06661555750556683,0.15531555881746265,0.000894823310640358,-0.6676546456663098
move,circle,5.0,263.0,260.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.8130515813827515,44.28696412220597,44.28702552057803,35733.75979216726,-1.7182175178655113e-09,-6.931873826810441e-07,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.061106856912374496,0.03036356344819069,0.015110253356397152,0.016238106414675713,0.0006059081060811877,0.00024131874670274556,7.890611595939845e-05,-0.0005765707464888692,0.04811669227088896,0.2979557753712196,0.0009729719012723661,0.9984076568301213
move,circle,6.0,263.0,261.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.8129988312721252,44.31533710286021,44.31489949114621,35615.825896231334,1.2287001718855996e-08,4.937499106654294e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.04941858351230621,0.03205179423093796,0.014804232865571976,0.01627565361559391,0.0003410423523746431,0.0002495539956726134,0.0004539666115306318,0.000515134772285819,0.03803997743703562,0.4276408836819885,0.00028859147113593353,-1.9728341729316157
move,circle,7.0,262.0,261.0,256.0,256.0,256.0,256.0,8.0,256.0,-1.0,0.0,0.0,0.0,-1.0,0.8130971789360046,44.3270956762135,44.32389478944242,35513.6581622166,9.013114775341109e-08,3.610661036351185e-05,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.04635792225599289,0.03660092502832413,0.015673594549298286,0.01671816222369671,0.0006029445794411004,0.0004722893354482949,-5.5047588830348104e-05,-0.0002444582059979439,0.03656298980604433,0.5749523168332393,0.0009729751958173394,0.8281114398397549
move,circle,8.0,262.0,262.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.813077449798584,44.31367974728346,44.31387197226286,35436.8927379001,-5.424430996881628e-09,-2.1689077004960124e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.03843977674841881,0.03861153870820999,0.016046125441789627,0.015688415616750717,-0.0008186576305888593,-0.0008471434121020138,0.0012440631398931146,0.0015644504455849528,0.032045985569320354,0.7970814241971643,0.0031734211682994825,-2.2783795241265357
move,circle,9.0,261.0,262.0,256.0,256.0,256.0,256.0,8.0,256.0,-1.0,0.0,0.0,0.0,-1.0,0.8130794167518616,44.3090390060097,44.308891132473946,35361.58479826746,4.181756462440606e-09,1.6686638417441272e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.03745146468281746,0.047207240015268326,0.016327112913131714,0.014948861673474312,0.0015531157841905951,0.0017107739113271236,-0.0010044528171420097,-0.0011931253829970956,0.038559580014981366,0.9910201942345448,0.0038695979457947713,0.8487268484266547
move,circle,10.0,261.0,263.0,256.0,256.0,256.0,256.0,8.0,256.0,0.0,1.0,0.0,1.0,1.0,0.8130741119384766,44.30407323129475,44.304845532402396,35291.122611837054,-2.1883721754603408e-08,-8.715839425877702e-06,100.0,0.01,0.5567764362830022,0.017960530202677488,0.0,8.0,0.03229299560189247,0.04912924766540527,0.015740610659122467,0.01467057317495346,0.0002632051764521748,0.0005167601630091667,0.0008786664693616331,0.00014627474592998624,0.03822802237799588,1.1229881420559682,0.0007183676268722835,2.599730435532425
