# producer=CAELIX
# when=2026-02-11T17:31:27
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_n512_20260211_173126.csv --dump-radial-fit _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_fit_n512_20260211_173126.csv --dump-shapiro _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_shapiro_n512_20260211_173126.csv
# run_id=20260211_173126
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial_fit
fit_kind,r_min,r_max,n_points,slope,intercept,r2,A,B,r2_inv_r,p,log_a0,r2_loglog,scan_used,scan_median,scan_p16,scan_p84,age_iters,err_abs_p_plus_1
powerlaw_loglog,3.0,179.2,177,-1.84993629087625,3.886427992360909,0.9259266804428175,,,,,,,,,,,,
powerlaw_scan,3.0,179.2,177,-2.3531267184103273,,,,,,,,,7.0,-2.3531267184103273,-3.0427136269428035,-1.7426494541153998,,
linear_inv_r,3.0,179.2,177,4.120649241536128,-0.02464979593979865,0.9970888697133812,,,,,,,,,,,,
base_frac,3.0,179.2,177,,,0.0,,,,,,,,,,,,
deoffset_powerlaw,3.0,179.2,177,-1.0111401682529957,,0.9952583024415405,,,,,,,,,,,,
best_inv_r_age,3.0,179.2,177,-1.0000011536126678,,0.9932723639034537,,,,,,,,,,,220512,1.1536126678368674e-06
powerlaw_window,3.0,108.71999999999998,106,-1.4269080530545648,2.496921716185818,0.971267873343979,,,,,,,,,,,,
powerlaw_window,14.746666666666668,120.46666666666665,106,-1.755805345826268,3.809522773692254,0.9767244858855497,,,,,,,,,,,,
powerlaw_window,26.493333333333336,132.2133333333333,106,-2.0520356809610996,5.057620833029455,0.9784178065876362,,,,,,,,,,,,
powerlaw_window,38.24,143.95999999999998,105,-2.3531267184103273,6.380500658440666,0.9801335032767803,,,,,,,,,,,,
powerlaw_window,49.98666666666667,155.70666666666665,106,-2.668501251539508,7.804974304357739,0.9809698530988377,,,,,,,,,,,,
powerlaw_window,61.73333333333334,167.45333333333332,106,-3.02722337916659,9.472595757422734,0.9822182759953083,,,,,,,,,,,,
powerlaw_window,73.48,179.2,106,-3.414479573571924,11.316229118149312,0.9834100832841327,,,,,,,,,,,,
inv_r_plus_offset_powerlaw,3.0,179.2,177.0,4.120649241536128,-0.02464979593979865,0.9970888697133812,4.120649241536128,-0.02464979593979865,0.9970888697133812,-1.0111401682529957,,0.9952583024415405
