# producer=CAELIX
# when=2026-02-11T17:31:27
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_n512_20260211_173126.csv --dump-radial-fit _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_radial_fit_n512_20260211_173126.csv --dump-shapiro _Output/01_baseline/01A_pipeline_baseline_hard_boundary/20260211_173126/_csv/01A_pipeline_baseline_hard_boundary_shapiro_n512_20260211_173126.csv
# run_id=20260211_173126
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
0.0,5.233767509460449,8,3.494497537612915
1.0,2.858771562576294,24,0.982574462890625
2.0,1.7722536325454712,104,0.43739572167396545
3.0,1.2682400941848755,144,0.1999034732580185
4.0,0.9961372017860413,272,0.13222426176071167
5.0,0.8164840936660767,360,0.08798553794622421
6.0,0.687073290348053,560,0.06515422463417053
7.0,0.5896630883216858,704,0.04819846153259277
8.0,0.5165014266967773,936,0.03798215091228485
9.0,0.4580618441104889,1112,0.029869170859456062
10.0,0.41148456931114197,1392,0.024811802431941032
11.0,0.37303292751312256,1592,0.020619507879018784
12.0,0.3394705355167389,2120,0.017912710085511208
13.0,0.31092482805252075,2208,0.014834346249699593
14.0,0.2865411937236786,2792,0.013154087588191032
15.0,0.2653954029083252,2928,0.011279446072876453
16.0,0.24723947048187256,3416,0.010054093785583973
17.0,0.23096169531345367,3792,0.008912574499845505
18.0,0.21641401946544647,4304,0.008024030365049839
19.0,0.20320555567741394,4784,0.007228560280054808
20.0,0.19116757810115814,5472,0.006580527871847153
21.0,0.1803116798400879,5696,0.005883606616407633
22.0,0.17062035202980042,6384,0.0054143276065588
23.0,0.1617644876241684,6752,0.004931620787829161
24.0,0.15343911945819855,7896,0.00461211521178484
25.0,0.14575953781604767,8072,0.0041838642209768295
26.0,0.13876187801361084,8888,0.003893037559464574
27.0,0.132319837808609,9384,0.003601477248594165
28.0,0.12634600698947906,10112,0.003355414140969515
29.0,0.12076044827699661,10896,0.0031360057182610035
30.0,0.11551844328641891,11696,0.002934826072305441
31.0,0.11057071387767792,12576,0.0027535692788660526
32.0,0.10591291636228561,13544,0.002588685369119048
33.0,0.10154655575752258,14048,0.0024171837139874697
34.0,0.09749911725521088,14976,0.002280182670801878
35.0,0.09370813518762589,15416,0.002135360147804022
36.0,0.09009074419736862,17112,0.0020441198721528053
37.0,0.08663272112607956,17672,0.0019243312999606133
38.0,0.08338301628828049,18728,0.0018252527806907892
39.0,0.08033601939678192,19224,0.0017195635009557009
40.0,0.07742493599653244,20840,0.0016466972883790731
41.0,0.07466048002243042,21312,0.0015573916025459766
42.0,0.07203102856874466,22904,0.0014900298556312919
43.0,0.06949235498905182,23976,0.001417965511791408
44.0,0.0670759305357933,25208,0.0013541500084102154
45.0,0.06479575484991074,25568,0.001284449128434062
46.0,0.06262823194265366,27360,0.0012346234871074557
47.0,0.06054247170686722,28136,0.0011745160445570946
48.0,0.05854909494519234,29568,0.0011278848396614194
