# producer=CAELIX
# when=2026-02-11T17:31:31
# cwd=
# python=
# command= /core.py --out _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130 --n 512 --steps 0 --traffic-iters 250000 --traffic-rate 0.10 --traffic-inject 1.0 --traffic-decay 0.0 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --k-index 1.0 --X0 8000 --ds 1.0 --eps 0.005 --delta-load --dump-radial _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_radial_n512_20260211_173130.csv --dump-radial-fit _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_radial_fit_n512_20260211_173130.csv --dump-shapiro _Output/01_baseline/01B_pipeline_baseline_sponge_boundary/20260211_173130/_csv/01B_pipeline_baseline_sponge_boundary_shapiro_n512_20260211_173130.csv
# run_id=20260211_173130
# n=512
# steps=0
# traffic_iters=250000
# seed=6174
# lattice_init=sparse
# artefact=radial
r,mean_phi,count,std_phi
0.0,5.233767509460449,8,3.494497537612915
1.0,2.858771562576294,24,0.982574462890625
2.0,1.7722536325454712,104,0.43739572167396545
3.0,1.268239974975586,144,0.19990339875221252
4.0,0.9961372017860413,272,0.13222426176071167
5.0,0.8164840936660767,360,0.08798551559448242
6.0,0.687073290348053,560,0.06515419483184814
7.0,0.5896630883216858,704,0.04819844290614128
8.0,0.5165014266967773,936,0.037982143461704254
9.0,0.4580618441104889,1112,0.029869170859456062
10.0,0.4114845395088196,1392,0.024811794981360435
11.0,0.37303292751312256,1592,0.020619507879018784
12.0,0.3394705057144165,2120,0.017912713810801506
13.0,0.31092479825019836,2208,0.014834356494247913
14.0,0.2865411639213562,2792,0.013154089450836182
15.0,0.2653953731060028,2928,0.011279438622295856
16.0,0.24723944067955017,3416,0.010054095648229122
17.0,0.2309616506099701,3792,0.008912589401006699
18.0,0.2164139747619629,4304,0.008024041540920734
19.0,0.20320551097393036,4784,0.007228560280054808
20.0,0.19116753339767456,5472,0.006580519024282694
21.0,0.1803116351366043,5696,0.005883608479052782
22.0,0.17062030732631683,6384,0.005414332263171673
23.0,0.16176442801952362,6752,0.004931618459522724
24.0,0.15343905985355377,7896,0.004612119402736425
25.0,0.1457594782114029,8072,0.004183874931186438
26.0,0.13876180350780487,8888,0.0038930445443838835
27.0,0.13231976330280304,9384,0.003601473057642579
28.0,0.1263459473848343,10112,0.003355414140969515
29.0,0.12076037377119064,10896,0.00313600804656744
30.0,0.11551836133003235,11696,0.0029348297975957394
31.0,0.11057063937187195,12576,0.0027535753324627876
32.0,0.10591284185647964,13544,0.0025886890944093466
33.0,0.10154647380113602,14048,0.002417183481156826
34.0,0.09749903529882431,14976,0.002280178014189005
35.0,0.09370805323123932,15416,0.0021353517659008503
36.0,0.09009066224098206,17112,0.0020441196393221617
37.0,0.0866326317191124,17672,0.001924332114867866
38.0,0.08338292688131332,18728,0.0018252526642754674
39.0,0.08033592998981476,19224,0.0017195648979395628
40.0,0.07742484658956528,20840,0.0016466929810121655
41.0,0.07466039061546326,21312,0.0015573900891467929
42.0,0.0720309391617775,22904,0.001490029040724039
43.0,0.06949225813150406,23976,0.0014179637655615807
44.0,0.06707583367824554,25208,0.0013541481457650661
45.0,0.06479565799236298,25568,0.0012844466837123036
46.0,0.0626281276345253,27360,0.0012346213916316628
