# producer=CAELIX
# when=2026-02-11T23:28:42
# cwd=
# python=
# command= /core.py --out _Output/02_interference/02A_double_slit_single_slit_control/20260211_232841 --double-slit --ds-single-slit --ds-source sine --ds-omega 0.80 --ds-gun-speed 0.0 --ds-burn 600 --ds-window 200 --ds-sample-every 4 --ds-amp 1000.0 --traffic-mode telegraph --traffic-gamma 0.0001 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --n 512 --ds-wall-x 256 --ds-detector-x 470 --ds-gun-stop 246 --ds-steps 5000 --ds-slit-width 8 --ds-sample-every 1
# run_id=20260211_232841
# experiment=02A_double_slit_single_slit_control
# artefact=double_slit
# n=512
# ds_steps=5000
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.0001
# traffic_dt=1.0
# traffic_decay=0.0
# double-slit
# n=512 steps=5000 wall_x=256 detector_x=470 cz=256 cy=256
# slits: slit_sep=16 slit_width=8 single_slit=1 y1=[252:260] y2=[0:0] z=[0:512)
# detector: line_y at x=470, z=256; intensity=phi^2
# detector_y=[32:480) boundary=sponge sponge_width=32 sponge_strength=1
# gun: start=10 stop=246 speed=0
# src: mode=sine amp=1000 omega=0.8 half_period=0
# chirality: select=0 field=none
# sampling: burn=600 sample_every=1 samples=4400 window=200
# dump_samples=0
# section:pattern_mean
y,y_off,intensity,intensity_norm
32,-224,2.95255210862e-13,0.000312997391372
33,-223,3.01385426206e-13,0.000319495977478
34,-222,3.08371422255e-13,0.000326901769007
35,-221,3.15366797347e-13,0.000334317503176
36,-220,3.21258228015e-13,0.000340562955797
37,-219,3.28656044098e-13,0.000348405314037
38,-218,3.34904212985e-13,0.000355028941632
39,-217,3.41051042836e-13,0.000361545140629
40,-216,3.48015707643e-13,0.000368928319099
41,-215,3.53292187364e-13,0.000374521867757
42,-214,3.59279210031e-13,0.000380868656596
43,-213,3.65250385449e-13,0.000387198645908
44,-212,3.69930237535e-13,0.00039215971498
45,-211,3.7587172285e-13,0.000398458230082
46,-210,3.80704058281e-13,0.000403580945375
47,-209,3.84701539024e-13,0.000407818638728
48,-208,3.89892824753e-13,0.000413321874002
49,-207,3.93188006927e-13,0.000416815066963
50,-206,3.96667151105e-13,0.000420503276391
51,-205,4.00788352498e-13,0.000424872124891
52,-204,4.02780364842e-13,0.000426983839247
53,-203,4.05444996344e-13,0.000429808591116
54,-202,4.08136903518e-13,0.000432662257682
55,-201,4.08601345377e-13,0.000433154608316
56,-200,4.10195828736e-13,0.000434844905772
57,-199,4.11128510466e-13,0.000435833633279
58,-198,4.09783466226e-13,0.000434407763987
59,-197,4.10191650394e-13,0.000434840476349
60,-196,4.09180894892e-13,0.00043376898354
61,-195,4.06518336287e-13,0.000430946429129
62,-194,4.05388247997e-13,0.000429748432705
63,-193,4.02296342787e-13,0.000426470731822
64,-192,3.97872631997e-13,0.000421781195834
65,-191,3.94665386347e-13,0.000418381223588
66,-190,3.89806079656e-13,0.000413229916305
67,-189,3.83747796044e-13,0.000406807584381
68,-188,3.78841798695e-13,0.000401606780751
69,-187,3.72514560237e-13,0.000394899332214
70,-186,3.6482341197e-13,0.000386746015166
71,-185,3.57954273239e-13,0.000379464103028
72,-184,3.50202143568e-13,0.000371246140143
73,-183,3.40827900236e-13,0.000361308589166
74,-182,3.32123547573e-13,0.000352081183258
75,-181,3.23267004799e-13,0.000342692441984
76,-180,3.12591131331e-13,0.000331375044616
