# producer=CAELIX
# when=2026-02-12T02:22:45
# cwd=
# python=
# command= /core.py --out _Output/03_interaction/03A_coulomb_like_decay0_hard_boundary/20260212_022244 --coulomb --n 512 --traffic-mode diffuse --traffic-iters 10000 --coulomb-max-iters 10000 --coulomb-check-every 200 --coulomb-tol 1e-4 --traffic-decay 0.0 --coulomb-sign like --coulomb-d-min 4 --coulomb-d-max 48 --coulomb-d-step 4
# run_id=20260212_022244
# experiment=03A_coulomb_like_decay0_hard_boundary
# artefact=coulomb
# n=512
# traffic_mode=diffuse
# traffic_iters=10000
# seed=6174
# coulomb_sign=like
# coulomb_q=1.0
# coulomb_d_min=4
# coulomb_d_max=48
# coulomb_d_step=4
# coulomb_max_iters=10000
# coulomb_check_every=200
# coulomb_tol=0.0001
# coulomb_tp_rate_rise=1
# coulomb_tp_rate_fall=1
# fit_metric=E_int_grad
# fit_d_min_used=4
# fit_d_max_used=48
# traffic_boundary=hard
# traffic_sponge_width=0
# traffic_sponge_strength=0
# coulomb_renorm_d_far=48
# coulomb_renorm_E_int_phi_far=287.88792084
# coulomb_renorm_E_int_grad_far=0.13169095623
# coulomb_pred_invr_yhat_far=0.110375805282
# coulomb_pred_yuk_yhat_far=0.1349785728
sign,q,d,x1,x2,c,safe,iters_pair,iters_self1,iters_self2,self2_reused,iters_self_logical,iters_self,pair_converged,pair_max_delta,self1_converged,self1_max_delta,self2_converged,self2_max_delta,E_pair_phi,E_pair_grad,E_self1_phi,E_self1_grad,E_self2_phi,E_self2_grad,E_self_phi,E_self_grad,E_int_phi,E_int_grad,E_int_phi_renorm,E_int_grad_renorm,fit_metric,fit_n,fit_d_min,fit_d_max,invr_A,invr_B,invr_r2,invr_yhat,invr_resid,invr_yhat_renorm,invr_resid_renorm,yuk_A,yuk_B,yuk_k,yuk_r2,yuk_half_range,yuk_yhat,yuk_resid,yuk_yhat_renorm,yuk_resid_renorm
like,1.0,4,254,258,256,8,10000,7800,0,1,15600,7800,0,0.00013387203216552734,1,9.757280349731445e-05,1,9.757280349731445e-05,294.59941165467336,7.4528072877651015,66.69412887756775,3.0403650517511895,66.69412887756775,3.0403650517511895,133.3882577551355,6.080730103502379,161.21115389953786,1.3720771842627224,-126.67676694022492,1.2403862280325013,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,1.3490651251513848,0.023012059111337635,1.2386893198693458,0.001696908163155486,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,1.3700399619111956,0.002037222351526813,1.2350613891114837,0.0053248389210176494
like,1.0,8,252,260,256,8,1800,7800,0,1,15600,7800,1,9.811483323574066e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,311.462400201541,6.729832153934071,66.69412887756727,3.040365051751195,66.69412887756727,3.040365051751195,133.38825775513453,6.08073010350239,178.07414244640648,0.6491020504316811,-109.8137783933563,0.51741109420146,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.6734164052226507,-0.02431435479096955,0.5630405999406116,-0.04562950573915159,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.6547354619794954,-0.005633411547814271,0.5197568891797835,-0.0023457949783234344
like,1.0,12,250,262,256,8,1600,7800,0,1,15600,7800,1,9.39536839723587e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,324.32991931607,6.503750767230011,66.69412887756656,3.040365051751203,66.69412887756656,3.040365051751203,133.3882577551331,6.080730103502406,190.9416615609369,0.4230206637276055,-96.94625927882589,0.2913297074973844,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.448200165246406,-0.025179501518800496,0.337824359964367,-0.04649465246698259,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.4244935807201402,-0.0014729169925347119,0.2895150079204283,0.0018146995769561247
like,1.0,16,248,264,256,8,1600,7800,0,1,15600,7800,1,9.096600115299225e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,336.3612763140354,6.396348777868858,66.69412887756562,3.0403650517512144,66.69412887756562,3.0403650517512144,133.38825775513124,6.080730103502429,202.9730185589042,0.3156186743664291,-84.9149022808586,0.183927718136208,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.3355920452582837,-0.01997337089185458,0.22521623997624465,-0.041288521840036646,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.3146574217436327,0.0009612526227963936,0.17967884894392075,0.004248869192287258
like,1.0,20,246,266,256,8,1600,7800,0,1,15600,7800,1,8.994340896606445e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,347.7205618973995,6.335345269635669,66.69412887756386,3.040365051751232,66.69412887756386,3.040365051751232,133.3882577551277,6.080730103502464,214.33230414227177,0.25461516613320434,-73.55561669749102,0.12292420990298325,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.2680271732654103,-0.013412007132205972,0.1576513679833713,-0.03472715808038804,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.25239188152421516,0.0022232846089891845,0.1174133087245032,0.005510901178480049
like,1.0,24,244,268,256,8,1600,7800,0,1,15600,7800,1,9.007006883621216e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,358.5018082424993,6.2969009931799445,66.69412887756135,3.040365051751258,66.69412887756135,3.040365051751258,133.3882577551227,6.080730103502516,225.11355048737659,0.2161708896774286,-62.7743703523862,0.0844799334472075,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.22298392527016134,-0.006813035592732747,0.11260811998812231,-0.028128186540914812,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.21348759411945828,0.002683295557970311,0.07850902131974632,0.005970912127461175
like,1.0,28,242,270,256,8,1600,7800,0,1,15600,7800,1,9.062886238098145e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,368.7721020367911,6.2709143503112745,66.6941288775574,3.040365051751298,66.6941288775574,3.040365051751298,133.3882577551148,6.080730103502596,235.38384428167632,0.19018424680867874,-52.50407655808647,0.058493290578457646,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.19081017670212638,-0.0006259298934476465,0.08043437142008736,-0.021941080841629712,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.1876199843929896,0.0025642624156891336,0.05264141159327765,0.005851878985179998
like,1.0,32,240,272,256,8,1600,7800,0,1,15600,7800,1,9.375065565109253e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,378.58324730135826,6.252401924617593,66.69412887755155,3.040365051751354,66.69412887755155,3.040365051751354,133.3882577551031,6.080730103502708,245.19498954625516,0.17167182111488533,-42.69293129350763,0.039980864884664236,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.16667986527610018,0.004991955838785145,0.056304059994061156,-0.01632319510939692,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.16966504487574927,0.00200677623913606,0.03468647207603731,0.005294392808626924
like,1.0,36,238,274,256,8,1800,7800,0,1,15600,7800,1,7.832050323486328e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,389.4637877062165,6.237858417931679,66.69412887754291,3.040365051751439,66.69412887754291,3.040365051751439,133.38825775508582,6.080730103502878,256.0755299511307,0.1571283144288005,-31.81239088863208,0.025437358198579396,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.1479118452780798,0.00921646915072069,0.03753603999604077,-0.012098681797461375,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.1568053695746994,0.0003229448541010871,0.021826796774987445,0.0036105614235919514
like,1.0,40,236,276,256,8,1800,7800,0,1,15600,7800,1,8.621439337730408e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,400.04456177301415,6.227412824963177,66.69412887752998,3.04036505175156,66.69412887752998,3.04036505175156,133.38825775505995,6.08073010350312,266.6563040179542,0.14668272146005723,-21.231616821808586,0.01499176522983614,E_int_grad,12,4.0,48.0,5.405189759429872,-0.0022323147060833077,0.9975221253144027,0.1328974292796635,0.013785292180393732,0.022521623997624474,-0.007529858767788333,5.836749174428148,0.11506109884433907,0.03769022556390978,0.9999455104352075,18.39063497735252,0.1473731672712218,-0.0006904458111645639,0.01239459447150984,0.0025971707583263004
