# producer=CAELIX
# when=2026-02-12T02:22:53
# cwd=
# python=
# command= /core.py --out _Output/03_interaction/03B_coulomb_opposite_decay0_hard_boundary/20260212_022252 --coulomb --n 512 --traffic-mode diffuse --traffic-iters 10000 --coulomb-max-iters 10000 --coulomb-check-every 200 --coulomb-tol 1e-4 --traffic-decay 0.0 --coulomb-sign opposite --coulomb-d-min 4 --coulomb-d-max 48 --coulomb-d-step 4
# run_id=20260212_022252
# experiment=03B_coulomb_opposite_decay0_hard_boundary
# artefact=coulomb
# n=512
# traffic_mode=diffuse
# traffic_iters=10000
# seed=6174
# coulomb_sign=opposite
# coulomb_q=1.0
# coulomb_d_min=4
# coulomb_d_max=48
# coulomb_d_step=4
# coulomb_max_iters=10000
# coulomb_check_every=200
# coulomb_tol=0.0001
# coulomb_tp_rate_rise=1
# coulomb_tp_rate_fall=1
# fit_metric=E_int_grad
# fit_d_min_used=4
# fit_d_max_used=48
# traffic_boundary=hard
# traffic_sponge_width=0
# traffic_sponge_strength=0
# coulomb_renorm_d_far=48
# coulomb_renorm_E_int_phi_far=-39.1559941256
# coulomb_renorm_E_int_grad_far=-0.0240179411827
# coulomb_pred_invr_yhat_far=-0.0167730718337
# coulomb_pred_yuk_yhat_far=-0.0274056582924
sign,q,d,x1,x2,c,safe,iters_pair,iters_self1,iters_self2,self2_reused,iters_self_logical,iters_self,pair_converged,pair_max_delta,self1_converged,self1_max_delta,self2_converged,self2_max_delta,E_pair_phi,E_pair_grad,E_self1_phi,E_self1_grad,E_self2_phi,E_self2_grad,E_self_phi,E_self_grad,E_int_phi,E_int_grad,E_int_phi_renorm,E_int_grad_renorm,fit_metric,fit_n,fit_d_min,fit_d_max,invr_A,invr_B,invr_r2,invr_yhat,invr_resid,invr_yhat_renorm,invr_resid_renorm,yuk_A,yuk_B,yuk_k,yuk_r2,yuk_half_range,yuk_yhat,yuk_resid,yuk_yhat_renorm,yuk_resid_renorm
opposite,1.0,4,254,258,256,8,1800,7800,0,1,15600,7800,1,9.586010128259659e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,7.925788972042601,4.7344765766580785,66.69412887756775,3.0403650517511895,66.69412887756775,3.0403650517511895,133.3882577551355,6.080730103502379,-125.4624687830929,-1.3462535268443006,-86.30647465752918,-1.3222355856616383,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-1.3373097454392815,-0.008943781405019058,-1.3205366736055688,-0.0016989120560695348,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-1.3454344485791938,-0.000819078265106743,-1.3180287902867915,-0.004206795374846806
opposite,1.0,8,252,260,256,8,2000,7800,0,1,15600,7800,1,9.459070861339569e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,17.762737845156572,5.4742714159329875,66.69412887756727,3.040365051751195,66.69412887756727,3.040365051751195,133.38825775513453,6.08073010350239,-115.62551990997795,-0.6064586875694022,-76.46952578441423,-0.58244074638674,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.6170170143816986,0.010558326812296404,-0.6002439425479859,0.017803196161245816,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.610141825764292,0.0036831381948897457,-0.5827361674718897,0.000295421085149683
opposite,1.0,12,250,262,256,8,2000,7800,0,1,15600,7800,1,9.778700768947601e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,27.05578118493954,5.712910700869461,66.69412887756656,3.040365051751203,66.69412887756656,3.040365051751203,133.3882577551331,6.080730103502406,-106.33247657019356,-0.36781940263294466,-67.17648244462984,-0.34380146145028245,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.3769194373625043,0.009100034729559614,-0.3601463655287915,0.016344904078509026,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.36777202471148945,-4.737792145520503e-05,-0.34036636641908713,-0.0034350950311953232
opposite,1.0,16,248,264,256,8,2000,7800,0,1,15600,7800,1,9.81474295258522e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,35.86461315391097,5.830553747528307,66.69412887756562,3.0403650517512144,66.69412887756562,3.0403650517512144,133.38825775513124,6.080730103502429,-97.52364460122027,-0.2501763559741219,-58.367650475656546,-0.2261584147914597,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.2568706488529071,0.006694292878785202,-0.24009757701919432,0.013939162227734614,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.24847452156402844,-0.0017018344100934724,-0.22106886327162611,-0.0050895515198335906
opposite,1.0,20,246,266,256,8,2000,7800,0,1,15600,7800,1,9.658187627792358e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,44.2625755845443,5.900230537105791,66.69412887756386,3.040365051751232,66.69412887756386,3.040365051751232,133.3882577551277,6.080730103502464,-89.12568217058342,-0.18049956639667375,-49.969688045019694,-0.15648162521401154,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.18484137574714882,0.004341809350475068,-0.16806830391343602,0.01158667869942448,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.1782890240002311,-0.0022105423964426385,-0.1508833657078288,-0.005598259506182757
opposite,1.0,24,244,268,256,8,2000,7800,0,1,15600,7800,1,9.387452155351639e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,52.31077997639354,5.946109794431823,66.69412887756135,3.040365051751258,66.69412887756135,3.040365051751258,133.3882577551227,6.080730103502516,-81.07747777872916,-0.13462030907069256,-41.92148365316544,-0.11060236788803035,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.13682186034330995,0.002201551272617397,-0.12004878850959716,0.009446420621566809,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.1325696451358445,-0.002050663934848068,-0.10516398684344218,-0.0054383810445881725
opposite,1.0,28,242,270,256,8,2000,7800,0,1,15600,7800,1,9.040534496307373e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,60.05926800350834,5.978526317867912,66.6941288775574,3.040365051751298,66.6941288775574,3.040365051751298,133.3882577551148,6.080730103502596,-73.32898975160646,-0.1022037856346838,-34.172995626042734,-0.07818584445202159,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.10252220648342503,0.0003184208487412299,-0.08574913464971223,0.007563290197690642,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.1007598275316952,-0.001443958102988599,-0.07335416923929289,-0.004831675212728703
opposite,1.0,32,240,272,256,8,2000,7800,0,1,15600,7800,1,8.66428017616272e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,67.54911175667041,6.002636280176556,66.69412887755155,3.040365051751354,66.69412887755155,3.040365051751354,133.3882577551031,6.080730103502708,-65.83914599843268,-0.07809382332615211,-26.68315187286896,-0.054075882143489906,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.07679746608851137,-0.0012963572376407384,-0.06002439425479858,0.005948512111308674,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.07758610811747663,-0.0005077152086754855,-0.050180449825074316,-0.00389543231841559
opposite,1.0,36,238,274,256,8,1800,7800,0,1,15600,7800,1,9.563099592924118e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,74.33881673383077,6.020063059865809,66.69412887754291,3.040365051751439,66.69412887754291,3.040365051751439,133.38825775508582,6.080730103502878,-59.04944102125505,-0.06066704363706954,-19.893446895691326,-0.036649102454407334,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.05678933467024516,-0.003877708966824378,-0.04001626283653237,0.003367160382125034,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.06012273431771219,-0.0005443093193573528,-0.03271707602530988,-0.003932026429097457
opposite,1.0,40,236,276,256,8,1800,7800,0,1,15600,7800,1,9.432993829250336e-05,1,9.757280349731445e-05,1,9.757280349731445e-05,81.09187911665549,6.034556548785491,66.69412887752998,3.04036505175156,66.69412887752998,3.04036505175156,133.38825775505995,6.08073010350312,-52.29637863840446,-0.04617355471762874,-13.14038451284074,-0.022155613534966534,E_int_grad,12,4.0,48.0,-5.762341848460664,0.10327571667588437,0.999694916508518,-0.040782829535632226,-0.005390725181996514,-0.024009757701919432,0.001854144166952898,-5.917821101700072,0.019465982453687136,0.02014812030075188,0.9999723172049116,34.4025730546228,-0.04661753359980522,0.0004439788821764823,-0.019211875307402912,-0.002943738227563622
