# producer=CAELIX
# when=2026-02-12T10:12:47
# cwd=
# python=
# command= /core.py --out _Output/04_confinement/04A_corral_global_sweep_optimised/20260212_101246 --corral --corral-geom sphere --traffic-mode telegraph --n 192 --traffic-iters 1 --traffic-c2 0.25 --traffic-gamma 0.001 --traffic-dt 1.0 --traffic-decay 0.0 --corral-radius 80 --corral-omega-start 0.01 --corral-omega-stop 0.62 --corral-omega-steps 1024 --corral-burn 4000 --corral-burn-frac 0.8 --corral-warm 300
# run_id=20260212_101246
# experiment=04A_corral_global_sweep_optimised
# artefact=corral
# n=192
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# corral_geom=sphere
# corral_radius=80
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn=4000
# corral_warm=300
# corral_burn_frac=0.8
# corral_amp=1.0
# corral_center_offset=0,0,0
# traffic_mode=telegraph
# traffic_dt=1
# traffic_c2=0.25
# traffic_gamma=0.001
# traffic_decay=0
# traffic_inject=1
# traffic_sponge_width=0
# traffic_sponge_strength=0
# corral_mask=dirichlet
# corral_geom=sphere
# corral_radius=80
# corral_inside_count=2143611
# corral_omega_start=0.01
# corral_omega_stop=0.62
# corral_omega_steps=1024
# corral_burn_in=4000
# corral_meas_start=3200
# corral_meas_len=800
# corral_warm_steps=300
# corral_burn_frac=0.8
# corral_amp=1
# corral_center_offset=0,0,0
i_omega,omega,e_phi,e_vel,e_tot,e_tot_std,e_tot_max,e_ratio,peak_phi,peak_vel
0,0.01,29.543559584477954,0.002499350723083096,29.54605893520107,19.195250734576362,58.90418837206721,8.459883501635187e-05,1.0119044780731201,0.010145654901862144
1,0.010596285434995113,26.305477549704918,0.0033105218042622075,26.308788071509184,20.270673525753367,57.97753056983854,0.00012584914294016373,1.0120097398757935,0.010882862843573093
2,0.011192570869990225,29.04271350344029,0.004005839056624393,29.0467193424969,21.472104721960573,66.44405058008647,0.00013792922814012332,1.0139002799987793,0.011430760845541954
3,0.011788856304985338,33.36712714076228,0.004755633774610549,33.37188277453694,23.949444309224457,76.09988511455718,0.00014252451985297774,1.0145211219787598,0.011995293200016022
4,0.01238514173998045,35.865698011624225,0.005894427825168161,35.87159243944947,26.69673752712617,83.05834534747338,0.00016434722177322708,1.0154567956924438,0.012691423296928406
5,0.012981427174975562,42.23203405320644,0.006230884553831924,42.23826493776028,29.236813862276183,91.30132670886383,0.00014753929554948113,1.017301321029663,0.013271467760205269
6,0.013577712609970675,49.56670781250341,0.008678783678057835,49.5753865961813,34.52961210572908,108.76953738036737,0.00017509300215957452,1.0185956954956055,0.01386750116944313
7,0.014173998044965788,51.75415690686178,0.011958708696776559,51.76611561555849,39.886380053423686,124.56742376573767,0.00023106759749361877,1.0203357934951782,0.014568168669939041
8,0.0147702834799609,56.97789013521735,0.012890409330859286,56.990780544548194,42.58894962544818,144.04073991925594,0.00022623528706079013,1.0228632688522339,0.01512863114476204
9,0.01536656891495601,87.9718729741994,0.021059156080371476,87.99293213027978,62.27736469575977,190.36772120817326,0.0002393851053568851,1.025456190109253,0.01582854986190796
10,0.015962854349951122,98.2890154956278,0.024457949600401815,98.31347344522828,71.94543415527713,232.11528748262361,0.000248837059533774,1.0281221866607666,0.016483057290315628
11,0.016559139784946237,127.6157820904712,0.03173865768590236,127.64752074815732,90.47619953106164,308.9659470277243,0.00024870480097360914,1.0340760946273804,0.017137659713625908
12,0.01715542521994135,236.18589788960216,0.07254041933954335,236.25843830894158,166.860002266224,487.54600020324426,0.00030713272887041644,1.0403857231140137,0.017977068200707436
13,0.017751710654936463,249.14723231145797,0.08867087128746201,249.2359031827453,189.2369289095061,598.7561829381016,0.0003558974766238404,1.0419762134552002,0.018623903393745422
14,0.018347996089931574,655.5650278701914,0.20968537367552487,655.774713243867,466.2725509810702,1454.859713320993,0.0003198544229193452,1.0699913501739502,0.01959141716361046
15,0.018944281524926686,1993.734128477323,0.7154856880294106,1994.4496141653485,1412.3809549369978,3966.64848974463,0.00035886715174798605,1.0890089273452759,0.02067091315984726
16,0.019540566959921797,2908.3973887892735,1.1215294183045006,2909.51891820757,2043.3236817384156,6091.031263453977,0.00038561766787013164,1.020838975906372,0.019946707412600517
17,0.020136852394916912,2004.2798402496803,0.8068829807770145,2005.0867232304577,1399.595170481511,4016.7736799809763,0.0004025800013417776,0.9404762387275696,0.018934302031993866
18,0.020733137829912023,640.9658590728576,0.2614123171612015,641.2272713900205,444.6202913909924,1416.8050512177829,0.00040784124998377916,0.9491919875144958,0.019765250384807587
19,0.021329423264907138,210.23012841481435,0.1074931883801966,210.33762160319458,155.438995018646,502.3845895894548,0.0005113120045671881,0.9750367999076843,0.020826466381549835
20,0.02192570869990225,202.20901195255573,0.09787226239508548,202.30688421495066,144.88863686443904,423.2058702408729,0.0004840153336887317,0.9779096245765686,0.021532610058784485
21,0.02252199413489736,100.46545052280608,0.048066789237536794,100.51351731204369,70.53018219358673,252.67252322012345,0.00047844098630329593,0.9874547123908997,0.022327253594994545
22,0.023118279569892472,73.4191584803108,0.03816931106735339,73.4573277913781,54.78660788153799,183.5743511102524,0.0005198821650562631,0.9923794865608215,0.023000502958893776
23,0.023714565004887583,67.75328577872176,0.0374968370046152,67.7907826157264,48.72264067354496,151.5733686980352,0.0005534320081106783,0.9930816888809204,0.023636849597096443
24,0.024310850439882698,41.82274593854365,0.025733482254501127,41.84847942079821,30.08668415004375,109.31002978573815,0.0006152987250601509,0.9981183409690857,0.02448613941669464
25,0.024907135874877813,39.6165747302639,0.025891757223798387,39.64246648748769,30.15488150598165,96.25433880220181,0.0006535587036508358,0.9996411800384521,0.024983210489153862
26,0.025503421309872924,36.39022611016878,0.022765596066186423,36.41299170623492,26.243429481940694,83.6503450860428,0.0006255964444206694,1.0015408992767334,0.025706056505441666
27,0.026099706744868036,31.27275024123173,0.02004284580074247,31.292793087032486,21.80363234946277,70.73941593489315,0.0006409044822132794,1.0048859119415283,0.026321979239583015
28,0.026695992179863147,28.61006597623983,0.020748704381269946,28.630814680621114,20.940638495159963,66.67297596761,0.0007252239263796408,1.0052070617675781,0.026906970888376236
29,0.027292277614858258,27.031480018807816,0.020260796688642255,27.051740815496437,19.440038637661825,62.98932612390762,0.0007495259850568508,1.0073137283325195,0.02774573117494583
30,0.02788856304985337,26.270020895443203,0.021200996098710047,26.29122189154189,19.004653552874153,60.92828199549558,0.0008070414630841335,1.0105631351470947,0.028176480904221535
31,0.028484848484848488,24.682826427716726,0.020625584242785794,24.703452011959488,18.136348167648844,61.61166574321594,0.0008356248950332597,1.0095598697662354,0.02902252785861492
32,0.0290811339198436,27.17197026424165,0.02151842446337198,27.193488688705038,18.719972551427805,60.57899928128264,0.0007919346390456442,1.012916088104248,0.029590314254164696
33,0.02967741935483871,27.174991790768278,0.023398176999988255,27.19838996776823,18.874893515859377,59.17946234193203,0.0008610187329637421,1.0157749652862549,0.03012833185493946
