# producer=CAELIX
# when=2026-02-12T10:45:42
# cwd=
# python=
# command= /core.py --out _Output/05_calibration/05A_isotropy_sigma_sweep/20260212_104540 --isotropy --iso-sweep --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --iso-R 128 --iso-steps 512 --iso-amp 50 --iso-sigma-start 1.0 --iso-sigma-stop 8.0 --iso-sigma-steps 64
# run_id=20260212_104540
# experiment=05A_isotropy_sigma_sweep
# artefact=isotropy_sigma_sweep
# n=512
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# iso_R=128
# iso_steps=512
# iso_sigma=3.5
# iso_sweep=1
# iso_sigma_start=1.0
# iso_sigma_stop=8.0
# iso_sigma_steps=64
# iso_amp=50.0
# isotropy_R=128
# isotropy_steps=512
# isotropy_amp=50
# isotropy_sigmas=1.0,1.1111111111111112,1.2222222222222223,1.3333333333333333,1.4444444444444444,1.5555555555555556,1.6666666666666665,1.7777777777777777,1.8888888888888888,2.0,2.111111111111111,2.2222222222222223,2.333333333333333,2.4444444444444446,2.5555555555555554,2.6666666666666665,2.7777777777777777,2.888888888888889,3.0,3.111111111111111,3.2222222222222223,3.333333333333333,3.444444444444444,3.5555555555555554,3.6666666666666665,3.7777777777777777,3.888888888888889,4.0,4.111111111111111,4.222222222222221,4.333333333333333,4.444444444444445,4.555555555555555,4.666666666666666,4.777777777777778,4.888888888888889,5.0,5.111111111111111,5.222222222222222,5.333333333333333,5.444444444444445,5.555555555555555,5.666666666666666,5.777777777777778,5.888888888888888,6.0,6.111111111111111,6.222222222222222,6.333333333333333,6.444444444444444,6.555555555555555,6.666666666666666,6.777777777777778,6.888888888888888,7.0,7.111111111111111,7.222222222222221,7.333333333333333,7.444444444444444,7.555555555555555,7.666666666666666,7.777777777777778,7.888888888888888,8.0
# isotropy_detectors=26
# isotropy_tail_window=20
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1
# traffic_decay=0
# traffic_inject=1
# c_theory=0.556776436283
# c_axis_mean=0.5506869716
sigma,detector,dx,dy,dz,x,y,z,dist,dist_over_R,kind,ux,uy,uz,t_peak,t_peak_f,valid_peak,arrival_frac,tail_len,c_eff,c_eff_int,ratio_vs_axis_mean,delta_c,delta_c_frac,ratio_int_vs_axis_mean,peak_I,peak_phi,peak_I_r2,peak_I_r2_ratio,delta_Ir2_frac,tail_I_mean,tail_I_std,snr_peak_over_tail_mean,snr_peak_over_tail_std
1.0,axis_x,128,0,0,384,256,256,128.0,1.0,axis,1.0,0.0,0.0,232,232.4369498484274,True,0.45397841767270974,279.5630501515726,0.5506869716001224,0.5517241379310345,1.0,0.0,0.0,1.0018834045190836,0.02768723620488279,0.1663948202465533,453.6276779807996,1.0000000000000002,2.220446049250313e-16,9.91061272214923e-07,8.528310230505269e-07,27936.957059178167,32465.090336239362
1.0,axis_y,0,128,0,256,384,256,128.0,1.0,axis,0.0,1.0,0.0,232,232.4369498484274,True,0.45397841767270974,279.5630501515726,0.5506869716001224,0.5517241379310345,1.0,0.0,0.0,1.0018834045190836,0.02768723620488279,0.1663948202465533,453.6276779807996,1.0000000000000002,2.220446049250313e-16,9.91061272214923e-07,8.528310230505269e-07,27936.957059178167,32465.090336239362
1.0,axis_z,0,0,128,256,256,384,128.0,1.0,axis,0.0,0.0,1.0,232,232.4369498484274,True,0.45397841767270974,279.5630501515726,0.5506869716001224,0.5517241379310345,1.0,0.0,0.0,1.0018834045190836,0.02768723620488279,0.1663948202465533,453.6276779807996,1.0000000000000002,2.220446049250313e-16,9.91061272214923e-07,8.528310230505269e-07,27936.957059178167,32465.090336239362
1.0,axis_nx,-128,0,0,128,256,256,128.0,1.0,axis,-1.0,0.0,0.0,232,232.4369498484274,True,0.45397841767270974,279.5630501515726,0.5506869716001224,0.5517241379310345,1.0,0.0,0.0,1.0018834045190836,0.02768723620488279,0.1663948202465533,453.6276779807996,1.0000000000000002,2.220446049250313e-16,9.91061272214923e-07,8.528310230505269e-07,27936.957059178167,32465.090336239362
1.0,axis_ny,0,-128,0,256,128,256,128.0,1.0,axis,0.0,-1.0,0.0,232,232.4369498484274,True,0.45397841767270974,279.5630501515726,0.5506869716001224,0.5517241379310345,1.0,0.0,0.0,1.0018834045190836,0.02768723620488279,0.1663948202465533,453.6276779807996,1.0000000000000002,2.220446049250313e-16,9.91061272214923e-07,8.528310230505269e-07,27936.957059178167,32465.090336239362
1.0,axis_nz,0,0,-128,256,256,128,128.0,1.0,axis,0.0,0.0,-1.0,232,232.4369498484274,True,0.45397841767270974,279.5630501515726,0.5506869716001224,0.5517241379310345,1.0,0.0,0.0,1.0018834045190836,0.02768723620488279,0.1663948202465533,453.6276779807996,1.0000000000000002,2.220446049250313e-16,9.91061272214923e-07,8.528310230505269e-07,27936.957059178167,32465.090336239362
1.0,diag_xy_mm,-91,-91,0,165,165,256,128.69343417595164,1.0054174544996222,diag_xy,-0.7071067811865476,-0.7071067811865476,0.0,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xy_mp,-91,91,0,165,347,256,128.69343417595164,1.0054174544996222,diag_xy,-0.7071067811865476,0.7071067811865476,0.0,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xy_pm,91,-91,0,347,165,256,128.69343417595164,1.0054174544996222,diag_xy,0.7071067811865476,-0.7071067811865476,0.0,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xy_pp,91,91,0,347,347,256,128.69343417595164,1.0054174544996222,diag_xy,0.7071067811865476,0.7071067811865476,0.0,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xz_mm,-91,0,-91,165,256,165,128.69343417595164,1.0054174544996222,diag_xz,-0.7071067811865476,0.0,-0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xz_mp,-91,0,91,165,256,347,128.69343417595164,1.0054174544996222,diag_xz,-0.7071067811865476,0.0,0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xz_pm,91,0,-91,347,256,165,128.69343417595164,1.0054174544996222,diag_xz,0.7071067811865476,0.0,-0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_xz_pp,91,0,91,347,256,347,128.69343417595164,1.0054174544996222,diag_xz,0.7071067811865476,0.0,0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_yz_mm,0,-91,-91,256,165,165,128.69343417595164,1.0054174544996222,diag_yz,0.0,-0.7071067811865476,-0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_yz_mp,0,-91,91,256,165,347,128.69343417595164,1.0054174544996222,diag_yz,0.0,-0.7071067811865476,0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
1.0,diag_yz_pm,0,91,-91,256,347,165,128.69343417595164,1.0054174544996222,diag_yz,0.0,0.7071067811865476,-0.7071067811865476,232,232.26061073896702,True,0.45363400534954496,279.739389261033,0.5540906560371857,0.5547130783446191,1.006180797099981,0.0034036844370632924,0.006180797099980984,1.0073110622769923,0.056345119857983635,0.23737127007703276,933.1878750879248,2.0571669683864027,1.0571669683864027,9.627511377809068e-07,7.950369913233236e-07,58525.11375666231,70871.06697286911
