# producer=CAELIX
# when=2026-02-13T00:14:54
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06A_oscillator_phase_drift_lensing/20260213_001453 --oscillator --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --osc-mass-iters 220512 --osc-mass-inject 2.0 --osc-steps 4000 --osc-burn 800 --osc-warm 400 --osc-sample-every 1 --osc-omega 0.15 --osc-amp 25.0 --osc-r-near 16 --osc-r-far 160 --osc-lens --osc-ray-count 128 --osc-ray-step 0.75 --osc-ray-max 640
# run_id=20260213_001453
# experiment=06A_oscillator_phase_drift_lensing
# artefact=oscillator_phase_drift
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# mass_iters=220512
# mass_inject=2.0
# mass_amp=1.0
# mass_boundary=zero
# mass_sponge_width=0
# mass_sponge_strength=0.0
# axis=x
# r_near=16
# r_far=160
# omega=0.15
# drive_amp=25.0
# steps=4000
# burn=800
# warm=400
# demod_window=256
# series_every=1
# artefact=oscillator_phase_series
t,phi_near_ac,phi_far_ac
400,-7.91981315612793,-7.514075756072998
401,-10.69186019897461,-10.285506248474121
402,-13.23592472076416,-12.826316833496094
403,-15.492602348327637,-15.079556465148926
404,-17.410558700561523,-16.993879318237305
405,-18.95071792602539,-18.5242862701416
406,-20.070642471313477,-19.6400146484375
407,-20.746553421020508,-20.31583595275879
408,-20.970653533935547,-20.53590965270996
409,-20.73655128479004,-20.298540115356445
410,-20.04421043395996,-19.603187561035156
411,-18.9080867767334,-18.465261459350586
412,-17.359477996826172,-16.91565704345703
413,-15.429814338684082,-14.983155250549316
414,-13.163278579711914,-12.715632438659668
415,-10.614652633666992,-10.167379379272461
416,-7.835840702056885,-7.387182235717773
417,-4.8870344161987305,-4.443714618682861
418,-1.8377066850662231,-1.4013164043426514
419,1.2379343509674072,1.6777116060256958
420,4.276196479797363,4.714682102203369
421,7.2123332023620605,7.64663553237915
422,9.975398063659668,10.408235549926758
423,12.505329132080078,12.928994178771973
424,14.74498176574707,15.163246154785156
425,16.642255783081055,17.05829429626465
426,18.153703689575195,18.566394805908203
427,19.250890731811523,19.6629695892334
428,19.91023826599121,20.314876556396484
429,20.107433319091797,20.50628089904785
430,19.84161949157715,20.24072265625
431,19.12286376953125,19.518001556396484
432,17.96570587158203,18.358009338378906
433,16.395294189453125,16.788009643554688
434,14.447408676147461,14.837692260742188
435,12.16585636138916,12.554252624511719
436,9.596428871154785,9.98792552947998
437,6.803394317626953,7.196635723114014
438,3.853256940841675,4.2447285652160645
439,0.8049083948135376,1.1974334716796875
440,-2.2739815711975098,-1.8765097856521606
441,-5.312104225158691,-4.910364151000977
442,-8.238511085510254,-7.833319664001465
443,-10.990386009216309,-10.581219673156738
444,-13.504158020019531,-13.093972206115723
445,-15.72186279296875,-15.308592796325684
446,-17.600902557373047,-17.181068420410156
447,-19.095884323120117,-18.669559478759766
448,-20.16819190979004,-19.73553466796875
449,-20.794523239135742,-20.362688064575195
450,-20.96620750427246,-20.53326416015625
451,-20.67949867248535,-20.240238189697266
452,-19.935455322265625,-19.49469566345215
453,-18.754417419433594,-18.30911636352539
454,-17.161422729492188,-16.712461471557617
455,-15.19023323059082,-14.743757247924805
456,-12.889286994934082,-12.444284439086914
457,-10.311702728271484,-9.865425109863281
458,-7.511606693267822,-7.063972473144531
459,-4.547702312469482,-4.103862285614014
460,-1.4932844638824463,-1.0514541864395142
461,1.582480788230896,2.023711919784546
462,4.614844799041748,5.051048755645752
463,7.532768249511719,7.966594219207764
464,10.271259307861328,10.70152759552002
465,12.771653175354004,13.195643424987793
466,14.977892875671387,15.397613525390625
467,16.833484649658203,17.25007438659668
468,18.298398971557617,18.71344566345215
469,19.347890853881836,19.758739471435547
470,19.95458984375,20.35805892944336
471,20.101593017578125,20.500642776489258
472,19.785804748535156,20.183246612548828
473,19.016206741333008,19.411869049072266
474,17.809707641601562,18.204784393310547
475,16.194194793701172,16.58849334716797
476,14.208827018737793,14.598732948303223
477,11.891698837280273,12.278535842895508
478,9.29475212097168,9.685094833374023
479,6.481355667114258,6.875913143157959
480,3.5148308277130127,3.908766984939575
481,0.45933178067207336,0.854761004447937
482,-2.617809772491455,-2.2195658683776855
483,-5.64401388168335,-5.245287895202637
484,-8.555398941040039,-8.150680541992188
485,-11.286002159118652,-10.87497329711914
486,-13.768287658691406,-13.355186462402344
487,-15.950128555297852,-15.534249305725098
488,-17.786836624145508,-17.366477966308594
489,-19.236391067504883,-18.81007194519043
490,-20.260034561157227,-19.83079719543457
491,-20.83702850341797,-20.403867721557617
492,-20.958049774169922,-20.520061492919922
493,-20.616376876831055,-20.177282333374023
494,-19.822811126708984,-19.38060188293457
495,-18.595792770385742,-18.15074348449707
496,-16.959121704101562,-16.511688232421875
497,-14.947816848754883,-14.500329971313477
498,-12.611814498901367,-12.167125701904297
499,-10.007148742675781,-9.559860229492188
500,-7.18497371673584,-6.736146450042725
501,-4.2091450691223145,-3.7634825706481934
502,-1.1492689847946167,-0.7080979347229004
503,1.9271715879440308,2.364622116088867
504,4.9499287605285645,5.386242389678955
505,7.850388050079346,8.285082817077637
506,10.564111709594727,10.996283531188965
507,13.035082817077637,13.45955753326416
508,15.203910827636719,15.621182441711426
509,17.017335891723633,17.434907913208008
510,18.43950843811035,18.85334587097168
511,19.439218521118164,19.846330642700195
512,19.992948532104492,20.398311614990234
513,20.087671279907227,20.491668701171875
514,19.722999572753906,20.120223999023438
515,18.90447235107422,19.294984817504883
516,17.648075103759766,18.041080474853516
517,15.9889497756958,16.385618209838867
518,13.963851928710938,14.357006072998047
519,11.613516807556152,12.001311302185059
520,8.990252494812012,9.3775053024292
521,6.1561737060546875,6.549266815185547
522,3.17546010017395,3.5731358528137207
523,0.11236152052879333,0.5082119107246399
524,-2.9604902267456055,-2.5653414726257324
525,-5.9761881828308105,-5.574840545654297
526,-8.871391296386719,-8.462908744812012
527,-11.577435493469238,-11.167365074157715
528,-14.029549598693848,-13.619681358337402
529,-16.174461364746094,-15.758356094360352
530,-17.969589233398438,-17.54440689086914
531,-19.371366500854492,-18.94382667541504
532,-20.346431732177734,-19.91915512084961
533,-20.875228881835938,-20.443052291870117
534,-20.94322395324707,-20.503273010253906
535,-20.549365997314453,-20.107942581176758
536,-19.70558738708496,-19.266151428222656
537,-18.43202781677246,-17.98697853088379
538,-16.75179100036621,-16.301937103271484
539,-14.70166301727295,-14.254185676574707
540,-12.333723068237305,-11.888601303100586
541,-9.699389457702637,-9.253777503967285
542,-6.856539249420166,-6.409508228302002
543,-3.8696982860565186,-3.423927068710327
544,-0.8053743839263916,-0.36146336793899536
545,2.2692272663116455,2.7081971168518066
546,5.283417701721191,5.715835094451904
547,8.164998054504395,8.597296714782715
548,10.854504585266113,11.285896301269531
549,13.29375171661377,13.720457077026367
550,15.423986434936523,15.844120979309082
551,17.196895599365234,17.610010147094727
552,18.57388687133789,18.984296798706055
553,19.524478912353516,19.934104919433594
554,20.025127410888672,20.432605743408203
555,20.068496704101562,20.468360900878906
556,19.65380859375,20.04775619506836
557,18.784467697143555,19.18040657043457
558,17.482097625732422,17.877038955688477
559,15.779376029968262,16.170360565185547
560,13.714577674865723,14.104104042053223
561,11.330507278442383,11.72201919555664
562,8.681831359863281,9.074363708496094
563,5.829579830169678,6.219574928283691
564,2.8340163230895996,3.2264416217803955
565,-0.2340080738067627,0.16367752850055695
