# producer=CAELIX
# when=2026-02-13T01:16:35
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06B_ringdown_passive_resonance_sweep/20260213_011634 --ringdown --traffic-mode telegraph --traffic-boundary zero --traffic-sponge-width 0 --traffic-sponge-strength 0.0 --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.0 --traffic-decay 0.0 --ringdown-steps 4096 --ringdown-amp 500 --ringdown-probe-window 2048 --ringdown-sigma-start 1.50 --ringdown-sigma-stop 8.00 --ringdown-sigma-step 0.5
# run_id=20260213_011634
# experiment=06B_ringdown_passive_resonance_sweep
# artefact=ringdown_sigma_sweep
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.0
# traffic_dt=1.0
# traffic_decay=0.0
# traffic_boundary=zero
# ringdown_steps=4096
# pulse_amp=500.0
# ringdown_norm=Efinal_over_Eland
# ringdown_note_esrc=E_src_target is a per-sigma normalisation target: min(unscaled sum(src^2)) across the sweep; src is scaled so sum(src^2)=E_src_target (never amplifies).
# ringdown_note_eland=E_land is total grid energy after a short post-injection settle (land_tick) and is used to cancel injection coupling; primary stability metric is E_final / E_land.
# ringdown_csv_columns=sigma,E_src_target,src_scale,src_peak,E_land,E_final,Efinal_over_Eland,Efinal_over_Esrc_target,probe_peak_abs,freq_peak,amp_peak
# ringdown_sigma_start=1.5
# ringdown_sigma_stop=8.0
# ringdown_sigma_step=0.5
# ringdown_probe_window=2048
# ringdown_out=
sigma,E_src_target,src_scale,src_peak,land_tick,E0,E_peak,t_E_peak,E_land,E_final,Efinal_over_Eland,Efinal_over_Esrc_target,probe_peak_abs,tail_rms,tail_var,freq_peak,freq_bin,amp_peak,probe2_dx,probe2_peak_abs,tail2_rms,tail2_var,freq2_peak,freq2_bin,amp2_peak,arrive_frac,t_arrive
1.5,4.698275533e+06,1.000000000e+00,5.000000000e+02,128,9.396551066e+06,3.962819484e+07,3960,3.756367706e+07,3.766073299e+07,1.002583771e+00,8.015862997e+00,8.645449219e+02,2.628506295e+00,6.909045342e+00,3.906250000e-03,8,7.591357964e+02,64,1.281171799e+01,1.124472330e+00,1.264438020e+00,9.765625000e-04,2,2.809865226e+02,0.25,109
2,4.698275533e+06,6.495216655e-01,3.247608337e+02,128,9.396550287e+06,6.860808213e+07,3960,6.385736739e+07,6.405521977e+07,1.003098349e+00,1.363377250e+01,7.258171387e+02,3.581165657e+00,1.282474747e+01,3.906250000e-03,8,1.161328977e+03,64,1.654494095e+01,1.459929116e+00,2.131393025e+00,9.765625000e-04,2,4.296466760e+02,0.25,108
2.5,4.698275533e+06,4.647587194e-01,2.323793640e+02,128,9.396551299e+06,1.069891100e+08,3960,9.793823278e+07,9.828932992e+07,1.003584883e+00,2.092029921e+01,6.408812256e+02,4.543483260e+00,2.064324014e+01,3.906250000e-03,8,1.617256646e+03,64,1.947733879e+01,1.791780257e+00,3.210476490e+00,9.765625000e-04,2,5.988011505e+02,0.25,107
3,4.698275533e+06,3.535566383e-01,1.767783203e+02,128,9.396550883e+06,1.543253764e+08,3960,1.391881458e+08,1.397779411e+08,1.004237396e+00,2.975090331e+01,5.846384277e+02,5.498622681e+00,3.023485139e+01,3.906250000e-03,8,2.109037226e+03,64,2.180972099e+01,2.122615287e+00,4.505495658e+00,9.765625000e-04,2,7.823746081e+02,0.25,105
3.5,4.698275533e+06,2.805670418e-01,1.402835236e+02,128,9.396551594e+06,2.119027818e+08,3960,1.884982847e+08,1.894713865e+08,1.005162391e+00,4.032785757e+01,5.404955444e+02,6.463819786e+00,4.178096623e+01,3.906250000e-03,8,2.644302420e+03,64,2.375159645e+01,2.459778079e+00,6.050508198e+00,9.765625000e-04,2,9.839475175e+02,0.25,104
4,4.698275533e+06,2.296427012e-01,1.148213501e+02,128,9.396551325e+06,2.783783964e+08,3960,2.446222176e+08,2.461563606e+08,1.006271478e+00,5.239291712e+01,5.048082581e+02,7.411795412e+00,5.493471122e+01,3.906250000e-03,8,3.200948491e+03,64,2.542983627e+01,2.793254788e+00,7.802272310e+00,9.765625000e-04,2,1.195610799e+03,0.25,102
4.5,4.698275533e+06,1.924514375e-01,9.622571564e+01,128,9.396550432e+06,3.558182998e+08,3960,3.091602656e+08,3.115117178e+08,1.007605933e+00,6.630341614e+01,4.752306824e+02,8.367161350e+00,7.000938906e+01,3.906250000e-03,8,3.794711177e+03,64,2.711895561e+01,3.131728028e+00,9.807720442e+00,9.765625000e-04,2,1.424136240e+03,0.25,101
5,4.698275533e+06,1.643194315e-01,8.215971375e+01,128,9.396550356e+06,4.418307169e+08,3960,3.801348498e+08,3.835773840e+08,1.009056087e+00,8.164216452e+01,4.502379150e+02,9.300820141e+00,8.650525530e+01,3.906250000e-03,8,4.399473574e+03,64,2.860244179e+01,3.465807148e+00,1.201181919e+01,9.765625000e-04,2,1.659652230e+03,0.25,99
5.5,4.698275533e+06,1.424285263e-01,7.121426392e+01,128,9.396551910e+06,5.393598129e+08,3960,4.599051085e+08,4.648388719e+08,1.010727786e+00,9.893818883e+01,4.287603455e+02,1.024438479e+01,1.049474197e+02,3.906250000e-03,8,5.036772232e+03,64,3.004687691e+01,3.807541431e+00,1.449737175e+01,9.765625000e-04,2,1.911552806e+03,0.25,98
6,4.698275533e+06,1.250023079e-01,6.250115585e+01,128,9.396551302e+06,6.453545196e+08,2360,5.457201814e+08,5.525342361e+08,1.012486353e+00,1.176036255e+02,4.100642395e+02,1.116692613e+01,1.247002391e+02,3.906250000e-03,8,5.677117140e+03,64,3.140203476e+01,4.146086158e+00,1.719003043e+01,9.765625000e-04,2,2.168171099e+03,0.25,96
6.5,4.698275533e+06,1.108592454e-01,5.542962265e+01,128,9.396551058e+06,7.671900813e+08,2360,6.407258020e+08,6.499883421e+08,1.014456325e+00,1.383461522e+02,3.935912476e+02,1.210365879e+01,1.464985561e+02,3.906250000e-03,8,6.346110870e+03,64,3.268968201e+01,4.495119989e+00,2.020610371e+01,9.765625000e-04,2,2.441126233e+03,0.25,95
7,4.698275533e+06,9.919701433e-02,4.959850693e+01,128,9.396551198e+06,8.978126352e+08,2360,7.413760364e+08,7.535791811e+08,1.016460128e+00,1.603948461e+02,3.789471130e+02,1.302065766e+01,1.695375259e+02,3.906250000e-03,8,7.011641700e+03,64,3.393225098e+01,4.841925371e+00,2.344424130e+01,9.765625000e-04,2,2.717008400e+03,0.25,93
7.5,4.698275533e+06,8.944392734e-02,4.472196579e+01,128,9.396551444e+06,1.042587007e+09,2360,8.516195411e+08,8.674829294e+08,1.018627318e+00,1.846385814e+02,3.659305420e+02,1.395468045e+01,1.947331064e+02,3.906250000e-03,8,7.701905828e+03,64,3.513941193e+01,5.201968718e+00,2.706047854e+01,9.765625000e-04,2,3.009372900e+03,0.25,92
8,4.698275533e+06,8.119163257e-02,4.059581375e+01,128,9.396550316e+06,1.195561564e+09,2360,9.671015385e+08,9.871773044e+08,1.020758695e+00,2.101148171e+02,3.543976440e+02,1.486935290e+01,2.210976555e+02,3.906250000e-03,8,8.383157833e+03,64,3.628414536e+01,5.560539841e+00,3.091960333e+01,9.765625000e-04,2,3.303195661e+03,0.25,90
