# producer=CAELIX
# when=2026-02-25T11:46:46
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06D_relativity_twin_paradox_threshold_lock/20260225_114645 --relativity --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --rel-L 48 --rel-v-frac 0.3 --rel-v-frac-ref 0.1 --rel-steps 1500 --rel-slab 8 --rel-amp 500 --rel-sigma 2.25 --rel-threshold 0.01 --rel-refractory 10
# run_id=20260225_114645
# experiment=06D_relativity_twin_paradox_threshold_lock
# artefact=relativity
# n=512
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# rel_steps=1500
# rel_L=48
# rel_v_frac=0.3
# rel_v_frac_ref=0.1
# rel_v_ref=0.05567764362830022
# rel_v=0.16703293088490065
# rel_slab=8
# rel_amp=500.0
# rel_sigma=2.25
# rel_threshold=0.01
# rel_refractory=10
t,x_s,x_s_f,x_m,v_ref,a_sx,a_sy,b_sx,b_sy,a_mx,a_my,b_mx,b_my,phi_sa,phi_sb,phi_ma,phi_mb,e_sa,e_sb,e_ma,e_mb,hit_sa,hit_sb,hit_ma,hit_mb,hits_sa,hits_sb,hits_ma,hits_mb,T0_est,Tp_est,c_axis_est,c_diag_est,ratio_est,gamma_corr_est,gamma_pred_axis,anisotropy_A,ratio_pred,ratio_err,gamma_sr
0,14,14.000000,14,0.0556776,14,232,14,280,14,232,14,280,5.000000000e+02,0.000000000e+00,5.000000000e+02,0.000000000e+00,2.511655475e+07,0.000000000e+00,2.511655475e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
1,14,14.055678,14,0.0556776,14,232,14,280,14,232,14,280,9.120383301e+02,0.000000000e+00,9.120383301e+02,0.000000000e+00,5.454257320e+07,0.000000000e+00,5.454257320e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
2,14,14.111355,14,0.0556776,14,232,14,280,14,232,14,280,1.173390625e+03,0.000000000e+00,1.173390625e+03,0.000000000e+00,8.888067100e+07,0.000000000e+00,8.888067100e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
3,14,14.167033,15,0.0556776,14,232,14,280,15,232,15,280,1.261238403e+03,0.000000000e+00,1.177669434e+03,0.000000000e+00,1.159180982e+08,0.000000000e+00,1.072853406e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
4,14,14.222711,15,0.0556776,14,232,14,280,15,232,15,280,1.193560059e+03,0.000000000e+00,1.135096924e+03,0.000000000e+00,1.283907646e+08,0.000000000e+00,1.195612990e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
5,14,14.278388,15,0.0556776,14,232,14,280,15,232,15,280,1.017207947e+03,0.000000000e+00,9.895336304e+02,0.000000000e+00,1.256045020e+08,0.000000000e+00,1.180698174e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
6,14,14.334066,15,0.0556776,14,232,14,280,15,232,15,280,7.895579224e+02,0.000000000e+00,7.891834717e+02,0.000000000e+00,1.116817349e+08,0.000000000e+00,1.063486318e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
7,14,14.389744,15,0.0556776,14,232,14,280,15,232,15,280,5.614390869e+02,0.000000000e+00,5.792968140e+02,0.000000000e+00,9.241130217e+07,0.000000000e+00,8.941809332e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
8,14,14.445421,15,0.0556776,14,232,14,280,15,232,15,280,3.667637329e+02,0.000000000e+00,3.925816956e+02,0.000000000e+00,7.266444392e+07,0.000000000e+00,7.156041174e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
9,15,14.501099,16,0.0556776,15,232,15,280,16,232,16,280,2.459071045e+02,0.000000000e+00,3.134127502e+02,0.000000000e+00,5.534798248e+07,0.000000000e+00,5.481883913e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00
