# producer=CAELIX
# when=2026-02-25T14:47:36
# cwd=
# python=
# command= /core.py --out _Output/06_relativity/06F_relativity_twin_paradox_xy_sponge/20260225_144735 --relativity --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --traffic-boundary sponge --traffic-sponge-width 8 --traffic-sponge-strength 1.0 --traffic-sponge-axes xy --rel-L 48 --rel-v-frac 0.3 --rel-v-frac-ref 0.1 --rel-steps 2000 --rel-slab 8 --rel-amp 500 --rel-sigma 2.25 --rel-threshold 0.01 --rel-refractory 10 --rel-detect window_peak --rel-start-threshold 0.01 --rel-peak-window 12 --rel-accept-threshold -1.0
# run_id=20260225_144735
# experiment=06F_relativity_twin_paradox_xy_sponge
# artefact=relativity_lightbox
# n=512
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# rel_steps=2000
# rel_L=48
# rel_v_frac=0.3
# rel_v_frac_ref=0.1
# rel_v_ref=0.05567764362830022
# rel_v=0.16703293088490065
# rel_slab=8
# rel_amp=500.0
# rel_sigma=2.25
# rel_threshold=0.01
# rel_refractory=10
# rel_detect=window_peak
# rel_start_threshold=0.01
# rel_peak_window=12
# rel_accept_threshold=-1.0
t,x_s,x_s_f,x_m,v_ref,a_sx,a_sy,b_sx,b_sy,a_mx,a_my,b_mx,b_my,phi_sa,phi_sb,phi_ma,phi_mb,e_sa,e_sb,e_ma,e_mb,hit_sa,hit_sb,hit_ma,hit_mb,hits_sa,hits_sb,hits_ma,hits_mb,T0_est,Tp_est,c_axis_est,c_diag_est,ratio_est,gamma_corr_est,gamma_pred_axis,anisotropy_A,ratio_pred,ratio_err,gamma_sr,cap_s,cap_m,t_peak_s,t_peak_m,e_peak_s,e_peak_m,hit_t_s,hit_t_m,accept_t_s,accept_t_m
0,14,14.000000,14,0.0556776,14,232,14,280,14,232,14,280,5.000000000e+02,0.000000000e+00,5.000000000e+02,0.000000000e+00,2.501521289e+07,0.000000000e+00,2.501521289e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
1,14,14.055678,14,0.0556776,14,232,14,280,14,232,14,280,9.120383301e+02,0.000000000e+00,9.120383301e+02,0.000000000e+00,5.403276921e+07,0.000000000e+00,5.403276921e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
2,14,14.111355,14,0.0556776,14,232,14,280,14,232,14,280,1.173390625e+03,0.000000000e+00,1.173390625e+03,0.000000000e+00,8.709393536e+07,0.000000000e+00,8.709393536e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
3,14,14.167033,15,0.0556776,14,232,14,280,15,232,15,280,1.261238403e+03,0.000000000e+00,1.177669434e+03,0.000000000e+00,1.112268661e+08,0.000000000e+00,1.029539490e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
4,14,14.222711,15,0.0556776,14,232,14,280,15,232,15,280,1.193560059e+03,0.000000000e+00,1.135096924e+03,0.000000000e+00,1.185022981e+08,0.000000000e+00,1.103998976e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
5,14,14.278388,15,0.0556776,14,232,14,280,15,232,15,280,1.016965515e+03,0.000000000e+00,9.893140869e+02,0.000000000e+00,1.081965085e+08,0.000000000e+00,1.018586629e+08,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
6,14,14.334066,15,0.0556776,14,232,14,280,15,232,15,280,7.875141602e+02,0.000000000e+00,7.873171997e+02,0.000000000e+00,8.544497575e+07,0.000000000e+00,8.173888234e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
7,14,14.389744,15,0.0556776,14,232,14,280,15,232,15,280,5.526004639e+02,0.000000000e+00,5.711567383e+02,0.000000000e+00,5.802656489e+07,0.000000000e+00,5.685373390e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
8,14,14.445421,15,0.0556776,14,232,14,280,15,232,15,280,3.407624207e+02,0.000000000e+00,3.684101257e+02,0.000000000e+00,3.314598160e+07,0.000000000e+00,3.366702361e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
9,15,14.501099,16,0.0556776,15,232,15,280,16,232,16,280,1.911037292e+02,0.000000000e+00,2.681142883e+02,0.000000000e+00,1.649850490e+07,0.000000000e+00,1.912035786e+07,0.000000000e+00,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.048284837e+00,0,0,-1,-1,nan,nan,-1,-1,-1,-1
