# producer=CAELIX
# when=2026-02-13T14:47:23
# cwd=
# python=
# command= /core.py --out _Output/07_collider/07C_collider_upgrade_opp_spin/20260213_144722 --collider --collider-detectors --collider-shell-stride 2 --collider-shell1-inner-frac 0.18 --collider-shell1-outer-frac 0.22 --collider-shell2-inner-frac 0.22 --collider-shell2-outer-frac 0.26 --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --collider-spin-b -1 --collider-vx 0.15 --collider-orbit-radius 80 --collider-orbit-omega 0.12 --collider-steps 2000
# run_id=20260213_144722
# experiment=07C_collider_upgrade_opp_spin
# artefact=collider
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# collider_spin_b=-1
# collider_vx=0.15
# collider_orbit_radius=80.0
# collider_orbit_omega=0.12
# collider_steps=2000
# collider_detectors=1
# collider_shell_stride=2
# collider_hold_steps=800
# collider
# n=512 steps=2000 spin_b=-1
# vx=0.15 orbit_r=80 orbit_omega=0.12
# sep0=128.1 t_c=427 phase0A=0 phase0B=1.94903509
# detectors=1 enable_b=1 shells: stride=2 shell1=[92,113] pts=346824 shell2=[113,133] pts=476176 center_tc=(256.000,300.925,322.194) t_c_int=427 hold=0 cut_step=427 hold_grace=0 hold_steps=800 center_ball_r=8 backreact=0 backreact_k=0 backreact_mode=repel backreact_axes=x backreact_vmax=0.5 nucleus=0 nucleus_q=1 nucleus_mode=dc nucleus_omega=0.12 nucleus_phase=0 halo=0 halo_center=nucleus halo_r=60 halo_strength=0.02 halo_profile=quadratic
step,t_c_int,t_rel,inj_scale,in_hold,backreact_on,vxA,vxB,xA,yA,zA,xB,yB,zB,sep,inA,inB,phi_max,vel_max,phi_energy,vel_energy,E_tot,E_tot_dE,hold_E_tot_dE,phi_midE,vel_midE,phi_A_E,phi_B_E,vel_A_E,vel_B_E,sep_x,sep_yz,mid_frac_phi,mid_frac_vel,mid_frac_tot,localA_frac_phi,localB_frac_phi,localA_frac_vel,localB_frac_vel,localA_frac_tot,localB_frac_tot,center_phi_E,center_vel_E,center_tot_E,center_frac_tot,center_dE_tot,shell1E_phi,shell1E_vel,shell1N,shell1_frac_phi,shell1_frac_vel,shell1_frac_tot,shell2E_phi,shell2E_vel,shell2N,shell2_frac_phi,shell2_frac_vel,shell2_frac_tot,shell2_minus_shell1_tot,shell2_pow_tot,gxA,gxB,dvA,dvB,axA,axB,PA,PB,sep_min,sep_min_t,cut_step,hold_grace_steps,hold_steps,vyA,vzA,vyB,vzB,gyA,gzA,gyB,gzB,dvyA,dvzA,dvyB,dvzB,thetaA,thetaB,theta_degA,theta_degB,octE0,octE1,octE2,octE3,octE4,octE5,octE6,octE7,octN0,octN1,octN2,octN3,octN4,octN5,octN6,octN7,angA,angB,dphi,phi_c,vel_c,src_max,src_E,src_qA,src_qB,src_qN,cellAx,cellAy,cellAz,cellBx,cellBy,cellBz,cellNx,cellNy,cellNz,halo_touched_vel,halo_touched_phi,halo_touched_vel_max,halo_touched_phi_max
0,427,-427,1.0,0,0,0.15,-0.15,191.95,336.0,256.0,320.05,226.45725663086236,330.3453180383625,184.2184815350024,1,1,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,128.10000000000002,132.3889683435218,0.0,0.0,0.0,0.49999999999975,0.49999999999975,0.49999999999975,0.49999999999975,0.499999999999875,0.499999999999875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346824,0.0,0.0,0.0,0.0,0.0,476176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.2184815350024,0,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.9490350851266385,1.9490350851266385,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,336,256,320,226,330,256,256,256,0,0,0,0
1,427,-426,1.0,0,0,0.15,-0.15,192.1,335.4246908683093,265.57697658311355,319.90000000000003,235.5697513802747,333.3473008018781,175.77447421305382,1,1,1.0,1.0,3.1918420307338238,4.6358420848846436,7.827684115618467,3.8276841156184673,0.0,0.0,0.0,1.0,1.0,1.0,1.0,127.80000000000004,120.68067693245473,0.0,0.0,0.0,0.313298712897073,0.313298712897073,0.2157105401110029,0.2157105401110029,0.25550341205123145,0.25550341205123145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346824,0.0,0.0,0.0,0.0,0.0,476176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.77447421305382,1,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.12,1.8290350851266384,1.7090350851266383,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,335,266,320,236,333,256,256,256,0,0,0,0
2,427,-425,1.0,0,0,0.15,-0.15,192.25,333.70703798816237,275.01621011417075,319.75000000000006,244.97608884452802,335.23681835381996,166.60117944565562,1,1,1.0,1.0,4.603314058855176,6.822088807821274,11.42540286667645,3.5977187510579824,0.0,0.0,0.0,1.0,1.0,1.0,1.0,127.50000000000006,107.23666813494128,0.0,0.0,0.0,0.2172347980638276,0.2172347980638276,0.14658267110996712,0.14658267110996712,0.17504853205947454,0.17504853205947454,0.0,0.0,0.0,0.0,0.0,0.3916267454624176,0.3916267454624176,346824,0.0850749569669223,0.05740569442798436,0.06855368690842568,0.0,0.0,476176,0.0,0.0,0.0,-0.7832534909248352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.60117944565562,2,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.24,1.7090350851266385,1.469035085126638,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,334,275,320,245,335,256,256,256,0,0,0,0
3,427,-424,1.0,0,0,0.15,-0.15,192.4,330.8717458942348,284.1819386620072,319.6000000000001,254.5409802276486,335.9866942766351,157.1303869133486,1,1,1.0,1.0,5.9710139692761,9.033301749732345,15.004315719008446,3.578912852331996,0.0,0.0,0.0,1.0,1.0,1.0,1.0,127.20000000000007,92.25030347667487,0.0,0.0,0.0,0.16747574283787317,0.16747574283787317,0.11070149406107452,0.11070149406107452,0.1332949824207002,0.1332949824207002,0.0,0.0,0.0,0.0,0.0,0.05881583737209439,0.15054168552160263,346824,0.009850226054523051,0.016665189505713843,0.013953153666878344,0.0,0.0,476176,0.0,0.0,0.0,-0.20935752289369702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.1303869133486,3,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.36,1.5890350851266386,1.2290350851266387,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,331,284,320,255,336,256,256,256,0,0,0,0
4,427,-423,1.0,0,0,0.15,-0.15,192.55,326.95959382234275,292.9423340433186,319.4500000000001,264.126856295728,335.5861433086727,147.8852845071084,1,1,1.0,1.0,7.302286869773525,11.159327293018578,18.461614162792102,3.4572984437836567,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.90000000000009,75.93712776862425,0.0,0.0,0.0,0.13694340113357903,0.13694340113357903,0.08961113638324092,0.08961113638324092,0.10833288911598699,0.10833288911598699,0.0,0.0,0.0,0.0,0.0,0.4685105177341029,0.6956035083858296,346824,0.06415942376536204,0.06233382085862344,0.06305591785500791,0.0,0.0,476176,0.0,0.0,0.0,-1.1641140261199325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.8852845071084,4,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.48,1.4690350851266385,0.9890350851266385,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,327,293,319,264,336,256,256,256,0,0,0,0
5,427,-422,1.0,0,0,0.15,-0.15,192.70000000000002,322.02684919277425,301.17139787160284,319.3000000000001,273.59584599783557,334.0409264656722,139.47590465906478,1,1,1.0,1.0,8.715077757988183,13.487572169832674,22.202649927820858,3.741035765028755,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.60000000000011,58.53176898458226,0.0,0.0,0.0,0.11474366927860073,0.11474366927860073,0.07414232801931556,0.07414232801931556,0.09007933766923135,0.09007933766923135,0.0,0.0,0.0,0.0,0.0,0.145682324317022,0.15318449142796453,346824,0.016716124441170224,0.01135745481092418,0.013460862406810294,0.0,0.0,476176,0.0,0.0,0.0,-0.2988668157449865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.47590465906478,5,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6,1.3490350851266384,0.7490350851266383,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,322,301,319,274,334,256,256,256,0,0,0,0
6,427,-421,1.0,0,0,0.15,-0.15,192.85000000000002,316.1444583312716,308.75077375771787,319.15000000000015,282.81175942788366,331.3732681816391,132.56898607949108,1,1,1.0,1.0,10.074883219983235,15.70374483902151,25.778628059004745,3.575978131183888,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.30000000000013,40.28456367076932,0.0,0.0,0.0,0.0992567336181555,0.0992567336181555,0.06367907847783431,0.06367907847783431,0.07758364779623335,0.07758364779623335,0.0,0.0,0.0,0.0,0.0,0.41202247058936337,0.8928727603263269,346824,0.04089600460798275,0.05685731457554072,0.05061926600317375,0.0,0.0,476176,0.0,0.0,0.0,-1.3048952309156903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.56898607949108,6,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.72,1.2290350851266385,0.5090350851266385,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,316,309,319,283,331,256,256,256,0,0,0,0
7,427,-420,1.0,0,0,0.15,-0.15,193.00000000000003,309.39702606730464,315.57144959766873,319.00000000000017,291.6420466070429,327.6215366608493,127.81409896355169,1,1,1.0,1.0,11.45119356309415,17.99709107450956,29.44828463760371,3.669656578598964,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.00000000000014,21.45795642330712,0.0,0.0,0.0,0.08732714144513241,0.08732714144513241,0.05556453517181502,0.05556453517181502,0.06791567062775708,0.06791567062775708,0.0,0.0,0.0,0.0,0.0,0.19728191355693525,0.10856732298989868,346824,0.01722806556975287,0.006032492836782027,0.010385978005532868,0.0,0.0,476176,0.0,0.0,0.0,-0.30584923654683394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.81409896355169,7,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.84,1.1090350851266386,0.26903508512663876,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,309,316,319,292,328,256,256,256,0,0,0,0
8,427,-419,1.0,0,0,0.15,-0.15,193.15000000000003,301.8815988857965,321.53532546407985,318.8500000000002,299.95970391407275,322.83969203839183,125.72145820202118,1,1,1.0,1.0,12.826754682101585,20.228590497005488,33.05534517910707,3.607060541503362,0.0,0.0,0.0,1.0,1.0,1.0,1.0,125.70000000000016,2.3227252189011622,0.0,0.0,0.0,0.07796204299403332,0.07796204299403332,0.049434981648770054,0.049434981648770054,0.06050458675179884,0.06050458675179884,0.0,0.0,0.0,0.0,0.0,0.25159040781532127,0.725250468595398,346824,0.019614502190984453,0.03585274360577538,0.029551676774747786,0.0,0.0,476176,0.0,0.0,0.0,-0.9768408764107193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.72145820202118,8,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.96,0.9890350851266385,0.02903508512663855,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,302,322,319,300,323,256,256,256,0,0,0,0
9,427,-418,1.0,0,0,0.15,-0.15,193.30000000000004,293.7062691338992,326.5566245507958,318.7000000000002,307.6451007438979,317.0965102862073,126.52645884774857,1,1,1.0,1.0,14.224488689074553,22.414429192160256,36.63891788123481,3.5835727021277393,0.0,0.0,0.0,1.0,1.0,1.0,1.0,125.40000000000018,16.84591311122581,0.0,0.0,0.0,0.07030129671852478,0.07030129671852478,0.04461411849603195,0.04461411849603195,0.05458676499352281,0.05458676499352281,0.0,0.0,0.0,0.0,0.0,0.20710361356833573,0.06314443783596668,346824,0.014559652588946264,0.002817133431979141,0.007375983435982064,0.0,0.0,476176,0.0,0.0,0.0,-0.2702480514043024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.72145820202118,8,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.08,0.8690350851266384,-0.21096491487336166,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,294,327,319,308,317,256,256,256,0,0,0,0
10,427,-417,1.0,0,0,0.15,-0.15,193.45000000000005,284.9886203581339,330.56312687737807,318.55000000000024,314.5877001220968,310.4745940269706,130.1140448796954,1,1,1.0,1.0,15.66068909526769,24.65884350213809,40.31953259740578,3.6806147161709717,0.0,0.0,0.0,1.0,1.0,1.0,1.0,125.1000000000002,35.77226125023883,0.0,0.0,0.0,0.06385415060069827,0.06385415060069827,0.04055340226776056,0.04055340226776056,0.049603749626022035,0.049603749626022035,0.0,0.0,0.0,0.0,0.0,0.17188616206564644,0.5554676409421684,346824,0.010975644878715817,0.022526102689851737,0.018039737966967298,0.0,0.0,476176,0.0,0.0,0.0,-0.7273538030078148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.72145820202118,8,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.2,0.7490350851266385,-0.45096491487336143,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,285,331,319,315,310,256,256,256,0,0,0,0
