# producer=CAELIX
# when=2026-02-13T14:47:30
# cwd=
# python=
# command= /core.py --out _Output/07_collider/07D_collider_upgrade_same_spin/20260213_144729 --collider --collider-detectors --collider-shell-stride 2 --collider-shell1-inner-frac 0.18 --collider-shell1-outer-frac 0.22 --collider-shell2-inner-frac 0.22 --collider-shell2-outer-frac 0.26 --traffic-mode telegraph --n 512 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 1.0 --traffic-gamma 0.001 --traffic-decay 0.0 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --collider-spin-b 1 --collider-vx 0.15 --collider-orbit-radius 80 --collider-orbit-omega 0.12 --collider-steps 2000
# run_id=20260213_144729
# experiment=07D_collider_upgrade_same_spin
# artefact=collider
# n=512
# seed=6174
# traffic_mode=telegraph
# traffic_c2=0.31
# traffic_gamma=0.001
# traffic_dt=1.0
# traffic_decay=0.0
# collider_spin_b=1
# collider_vx=0.15
# collider_orbit_radius=80.0
# collider_orbit_omega=0.12
# collider_steps=2000
# collider_detectors=1
# collider_shell_stride=2
# collider_hold_steps=800
# collider
# n=512 steps=2000 spin_b=1
# vx=0.15 orbit_r=80 orbit_omega=0.12
# sep0=128.1 t_c=427 phase0A=0 phase0B=0
# detectors=1 enable_b=1 shells: stride=2 shell1=[92,113] pts=346824 shell2=[113,133] pts=476176 center_tc=(256.000,300.925,322.194) t_c_int=427 hold=0 cut_step=427 hold_grace=0 hold_steps=800 center_ball_r=8 backreact=0 backreact_k=0 backreact_mode=repel backreact_axes=x backreact_vmax=0.5 nucleus=0 nucleus_q=1 nucleus_mode=dc nucleus_omega=0.12 nucleus_phase=0 halo=0 halo_center=nucleus halo_r=60 halo_strength=0.02 halo_profile=quadratic
step,t_c_int,t_rel,inj_scale,in_hold,backreact_on,vxA,vxB,xA,yA,zA,xB,yB,zB,sep,inA,inB,phi_max,vel_max,phi_energy,vel_energy,E_tot,E_tot_dE,hold_E_tot_dE,phi_midE,vel_midE,phi_A_E,phi_B_E,vel_A_E,vel_B_E,sep_x,sep_yz,mid_frac_phi,mid_frac_vel,mid_frac_tot,localA_frac_phi,localB_frac_phi,localA_frac_vel,localB_frac_vel,localA_frac_tot,localB_frac_tot,center_phi_E,center_vel_E,center_tot_E,center_frac_tot,center_dE_tot,shell1E_phi,shell1E_vel,shell1N,shell1_frac_phi,shell1_frac_vel,shell1_frac_tot,shell2E_phi,shell2E_vel,shell2N,shell2_frac_phi,shell2_frac_vel,shell2_frac_tot,shell2_minus_shell1_tot,shell2_pow_tot,gxA,gxB,dvA,dvB,axA,axB,PA,PB,sep_min,sep_min_t,cut_step,hold_grace_steps,hold_steps,vyA,vzA,vyB,vzB,gyA,gzA,gyB,gzB,dvyA,dvzA,dvyB,dvzB,thetaA,thetaB,theta_degA,theta_degB,octE0,octE1,octE2,octE3,octE4,octE5,octE6,octE7,octN0,octN1,octN2,octN3,octN4,octN5,octN6,octN7,angA,angB,dphi,phi_c,vel_c,src_max,src_E,src_qA,src_qB,src_qN,cellAx,cellAy,cellAz,cellBx,cellBy,cellBz,cellNx,cellNy,cellNz,halo_touched_vel,halo_touched_phi,halo_touched_vel_max,halo_touched_phi_max
0,427,-427,1.0,0,0,0.15,-0.15,191.95,336.0,256.0,320.05,336.0,256.0,128.10000000000002,1,1,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,128.10000000000002,0.0,0.0,0.0,0.0,0.49999999999975,0.49999999999975,0.49999999999975,0.49999999999975,0.499999999999875,0.499999999999875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346824,0.0,0.0,0.0,0.0,0.0,476176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.10000000000002,0,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,336,256,320,336,256,256,256,256,0,0,0,0
1,427,-426,1.0,0,0,0.15,-0.15,192.1,335.4246908683093,265.57697658311355,319.90000000000003,335.4246908683093,265.57697658311355,127.80000000000004,1,1,1.0,1.0,3.1918420307338238,4.6358420848846436,7.827684115618467,3.8276841156184673,0.0,0.0,0.0,1.0,1.0,1.0,1.0,127.80000000000004,0.0,0.0,0.0,0.0,0.313298712897073,0.313298712897073,0.2157105401110029,0.2157105401110029,0.25550341205123145,0.25550341205123145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346824,0.0,0.0,0.0,0.0,0.0,476176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.80000000000004,1,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.12,0.12,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,335,266,320,335,266,256,256,256,0,0,0,0
2,427,-425,1.0,0,0,0.15,-0.15,192.25,333.70703798816237,275.01621011417075,319.75000000000006,333.70703798816237,275.01621011417075,127.50000000000006,1,1,1.0,1.0,4.603314058855176,6.822088807821274,11.42540286667645,3.5977187510579824,0.0,0.0,0.0,1.0,1.0,1.0,1.0,127.50000000000006,0.0,0.0,0.0,0.0,0.2172347980638276,0.2172347980638276,0.14658267110996712,0.14658267110996712,0.17504853205947454,0.17504853205947454,0.0,0.0,0.0,0.0,0.0,0.29552674293518066,0.29552674293518066,346824,0.06419869232398466,0.04331909936386738,0.05173152253512107,0.0,0.0,476176,0.0,0.0,0.0,-0.5910534858703613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.50000000000006,2,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.24,0.24,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,334,275,320,334,275,256,256,256,0,0,0,0
3,427,-424,1.0,0,0,0.15,-0.15,192.4,330.8717458942348,284.1819386620072,319.6000000000001,330.8717458942348,284.1819386620072,127.20000000000007,1,1,1.0,1.0,5.9710139692761,9.033301749732345,15.004315719008446,3.578912852331996,0.0,0.0,0.0,1.0,1.0,1.0,1.0,127.20000000000007,0.0,0.0,0.0,0.0,0.16747574283787317,0.16747574283787317,0.11070149406107452,0.11070149406107452,0.1332949824207002,0.1332949824207002,0.0,0.0,0.0,0.0,0.0,0.05138884484767914,0.10044629126787186,346824,0.008606384964445275,0.011119554516247278,0.010119430899683497,0.0,0.0,476176,0.0,0.0,0.0,-0.151835136115551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.20000000000007,3,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.36,0.36,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,192,331,284,320,331,284,256,256,256,0,0,0,0
4,427,-423,1.0,0,0,0.15,-0.15,192.55,326.95959382234275,292.9423340433186,319.4500000000001,326.95959382234275,292.9423340433186,126.90000000000009,1,1,1.0,1.0,7.302286869773525,11.159327293018578,18.461614162792102,3.4572984437836567,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.90000000000009,0.0,0.0,0.0,0.0,0.13694340113357903,0.13694340113357903,0.08961113638324092,0.08961113638324092,0.10833288911598699,0.10833288911598699,0.0,0.0,0.0,0.0,0.0,0.5076386649161577,0.7006670329719782,346824,0.0695177653205279,0.0627875690508927,0.06544962359376535,0.0,0.0,476176,0.0,0.0,0.0,-1.208305697888136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.90000000000009,4,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.48,0.48,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,327,293,319,327,293,256,256,256,0,0,0,0
5,427,-422,1.0,0,0,0.15,-0.15,192.70000000000002,322.02684919277425,301.17139787160284,319.3000000000001,322.02684919277425,301.17139787160284,126.60000000000011,1,1,1.0,1.0,8.715077757988183,13.487572169832674,22.202649927820858,3.741035765028755,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.60000000000011,0.0,0.0,0.0,0.0,0.11474366927860073,0.11474366927860073,0.07414232801931556,0.07414232801931556,0.09007933766923135,0.09007933766923135,0.0,0.0,0.0,0.0,0.0,0.16511965997051448,0.14368714531883597,346824,0.018946435655051722,0.0106532994603882,0.013908556244107988,0.0,0.0,476176,0.0,0.0,0.0,-0.30880680528935045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.60000000000011,5,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,322,301,319,322,301,256,256,256,0,0,0,0
6,427,-421,1.0,0,0,0.15,-0.15,192.85000000000002,316.1444583312716,308.75077375771787,319.15000000000015,316.1444583312716,308.75077375771787,126.30000000000013,1,1,1.0,1.0,10.074939118632983,15.703800737671259,25.77873985630424,3.576089928483384,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.30000000000013,0.0,0.0,0.0,0.0,0.09925618291335002,0.09925618291335002,0.06367885180821696,0.06367885180821696,0.07758331133128754,0.07758331133128754,0.0,0.0,0.0,0.0,0.0,0.49080025634611957,1.079136689164443,346824,0.04871496001780952,0.06871818531011245,0.06090045340701829,0.0,0.0,476176,0.0,0.0,0.0,-1.5699369455105625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.30000000000013,6,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.72,0.72,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,316,309,319,316,309,256,256,256,0,0,0,0
7,427,-420,1.0,0,0,0.15,-0.15,193.00000000000003,309.39702606730464,315.57144959766873,319.00000000000017,309.39702606730464,315.57144959766873,126.00000000000014,1,1,1.0,1.0,11.451828213004617,17.997267293829857,29.449095506834475,3.670355650530233,0.0,0.0,0.0,1.0,1.0,1.0,1.0,126.00000000000014,0.0,0.0,0.0,0.0,0.08732230185432921,0.08732230185432921,0.055563991114516716,0.055563991114516716,0.06791380059655065,0.06791380059655065,0.0,0.0,0.0,0.0,0.0,0.20606047580281484,0.13479439783753833,346824,0.0179936750683001,0.007489714723731611,0.011574374960386706,0.0,0.0,476176,0.0,0.0,0.0,-0.34085487364035316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.00000000000014,7,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.84,0.84,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,309,316,319,309,316,256,256,256,0,0,0,0
8,427,-419,1.0,0,0,0.15,-0.15,193.15000000000003,301.8815988857965,321.53532546407985,318.8500000000002,301.8815988857965,321.53532546407985,125.70000000000016,1,1,1.0,1.0,12.82900386139523,20.226090695702663,33.055094557097895,3.6059990502634207,0.0,0.0,0.0,1.0,1.0,1.0,1.0,125.70000000000016,0.0,0.0,0.0,0.0,0.07794837469876371,0.07794837469876371,0.0494410914617532,0.0494410914617532,0.060505045494431385,0.060505045494431385,0.0,0.0,0.0,0.0,0.0,0.25275420066870424,0.7568772843351326,346824,0.019701779140410672,0.03742083904013667,0.030543899466383733,0.0,0.0,476176,0.0,0.0,0.0,-1.0096314850038368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.70000000000016,8,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.96,0.96,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,302,322,319,302,322,256,256,256,0,0,0,0
9,427,-418,1.0,0,0,0.15,-0.15,193.30000000000004,293.7062691338992,326.5566245507958,318.7000000000002,293.7062691338992,326.5566245507958,125.40000000000018,1,1,1.0,1.0,14.23259445644274,22.411889023332275,36.64448347977502,3.5893889226771236,0.0,0.0,0.0,1.0,1.0,1.0,1.0,125.40000000000018,0.0,0.0,0.0,0.0,0.07026125862437221,0.07026125862437221,0.04461917507082462,0.04461917507082462,0.05457847430442822,0.05457847430442822,0.0,0.0,0.0,0.0,0.0,0.18864572059146667,0.0715344789207748,346824,0.0132544857628581,0.0031918094385662643,0.0071001191667999395,0.0,0.0,476176,0.0,0.0,0.0,-0.2601801995122415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.40000000000018,9,427,0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.08,1.08,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,193,294,327,319,294,327,256,256,256,0,0,0,0
