# producer=CAELIX
# when=2026-02-18T09:41:42
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09D_collidersg_kink_walls/20260218_094141 --collidersg --collidersg-scenario D --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.2,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.2,0.0,0.0],"phase":0.0}] --collidersg-steps 10000 --collidersg-log-every 1 --collidersg-track-r 14 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_094141
# experiment=09D_collidersg_kink_walls
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=10000
# log_every=1
# phi_abs_every=100
# track_r=14
# peak_thresh=0.001
# sprite_count=2
# scenario=D
# sprites_src=inline_json
# sprite_asset_h5=
# artefact=sg_collision_tracks
# scenario=D
# sprites_digest=11b1f712ce33
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# vel0_abs_max=0.172105
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
0,1,59.135,83.000,83.000,0.20000,0.00000,0.00000,0.835267,ALIVE,12.566370,0.007
0,2,131.135,83.000,83.000,-0.20000,0.00000,0.00000,0.835267,ALIVE,12.566370,0.007
1,1,59.868,70.000,70.000,14.65042,-260.00000,-260.00000,0.835850,ALIVE,12.566370,0.170
1,2,131.132,70.000,70.000,-0.05402,-260.00000,-260.00000,0.835850,ALIVE,12.566370,0.170
2,1,59.870,44.000,44.000,0.05501,-520.00000,-520.00000,0.836283,ALIVE,12.566370,0.179
2,2,131.130,44.000,44.000,-0.05493,-520.00000,-520.00000,0.836283,ALIVE,12.566370,0.179
3,1,59.873,5.000,5.000,0.05562,-780.00000,-780.00000,0.836568,ALIVE,12.566370,0.188
3,2,131.127,5.000,5.000,-0.05554,-780.00000,-780.00000,0.836567,ALIVE,12.566370,0.188
4,1,59.876,1.000,1.000,0.05638,-80.00000,-80.00000,0.836704,ALIVE,12.566370,0.197
4,2,131.124,1.000,1.000,-0.05646,-80.00000,-80.00000,0.836702,ALIVE,12.566370,0.197
5,1,59.879,1.000,1.000,0.05722,0.00000,0.00000,0.836690,ALIVE,12.566370,0.207
5,2,131.121,1.000,1.000,-0.05707,-0.00000,-0.00000,0.836689,ALIVE,12.566370,0.207
6,1,59.882,1.000,1.000,0.05791,0.00000,-0.00001,0.836529,ALIVE,12.566370,0.215
6,2,131.118,1.000,1.000,-0.05798,0.00000,0.00000,0.836527,ALIVE,12.566370,0.215
7,1,59.885,1.000,1.000,0.05859,0.00000,0.00000,0.836219,ALIVE,12.566370,0.224
7,2,131.115,1.000,1.000,-0.05859,0.00000,0.00000,0.836216,ALIVE,12.566370,0.224
8,1,59.888,1.000,1.000,0.05928,0.00000,0.00000,0.835761,ALIVE,12.566370,0.233
8,2,131.112,1.000,1.000,-0.05920,0.00000,0.00000,0.835758,ALIVE,12.566370,0.233
9,1,59.891,1.000,1.000,0.05989,-0.00000,-0.00000,0.835157,ALIVE,12.566370,0.242
9,2,131.109,1.000,1.000,-0.05981,0.00000,0.00000,0.835155,ALIVE,12.566370,0.242
10,1,59.894,1.000,1.000,0.06042,-0.00000,0.00000,0.834409,ALIVE,12.566370,0.250
10,2,131.106,1.000,1.000,-0.06042,0.00000,-0.00001,0.834406,ALIVE,12.566370,0.250
11,1,59.897,1.000,1.000,0.06104,0.00000,0.00000,0.833517,ALIVE,12.566370,0.259
11,2,131.103,1.000,1.000,-0.06104,0.00000,0.00000,0.833514,ALIVE,12.566370,0.259
12,1,59.900,1.000,1.000,0.06157,0.00000,0.00000,0.832485,ALIVE,12.566370,0.267
12,2,131.100,1.000,1.000,-0.06165,0.00000,0.00000,0.832482,ALIVE,12.566370,0.267
13,1,59.903,1.000,1.000,0.06203,0.00000,0.00000,0.831318,ALIVE,12.566370,0.276
13,2,131.097,1.000,1.000,-0.06195,-0.00000,-0.00000,0.831314,ALIVE,12.566370,0.276
14,1,59.906,1.000,1.000,0.06248,-0.00000,-0.00000,0.830019,ALIVE,12.566370,0.285
14,2,131.094,1.000,1.000,-0.06226,0.00000,0.00000,0.830014,ALIVE,12.566370,0.285
15,1,59.909,1.000,1.000,0.06287,0.00000,0.00000,0.828594,ALIVE,12.566370,0.294
15,2,131.091,1.000,1.000,-0.06287,0.00000,0.00000,0.828589,ALIVE,12.566370,0.294
16,1,59.912,1.000,1.000,0.06325,0.00000,-0.00000,0.827050,ALIVE,12.566370,0.306
16,2,131.088,1.000,1.000,-0.06317,-0.00000,-0.00000,0.827045,ALIVE,12.566370,0.306
17,1,59.915,1.000,1.000,0.06355,0.00000,0.00001,0.825395,ALIVE,12.566370,0.315
17,2,131.085,1.000,1.000,-0.06378,0.00000,0.00000,0.825391,ALIVE,12.566370,0.315
18,1,59.919,1.000,1.000,0.06386,-0.00000,-0.00000,0.823637,ALIVE,12.566370,0.324
