# producer=CAELIX
# when=2026-02-18T16:27:00
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09E_collidersg_transistor_binary_baseline/20260218_162659 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.2,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.2,0.0,0.0],"phase":0.0}] --collidersg-steps 5000 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_162659
# experiment=09E_collidersg_transistor_binary_baseline
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=5000
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=11b1f712ce33
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=0.172105
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
0,1,59.865,95.500,95.500,0.20000,0.00000,0.00000,0.835267,ALIVE,12.566370,0.007
0,2,131.135,95.500,95.500,-0.20000,0.00000,0.00000,0.835267,ALIVE,12.566370,0.007
1,1,59.868,95.500,95.500,0.05409,0.00000,0.00000,0.835850,ALIVE,12.566370,0.193
1,2,131.132,95.500,95.500,-0.05402,0.00000,0.00000,0.835850,ALIVE,12.566370,0.193
2,1,59.870,95.500,95.500,0.05486,0.00000,0.00000,0.836283,ALIVE,12.566370,0.205
2,2,131.130,95.500,95.500,-0.05493,0.00000,0.00000,0.836283,ALIVE,12.566370,0.205
3,1,59.873,95.500,95.500,0.05569,0.00000,0.00000,0.836568,ALIVE,12.566370,0.213
3,2,131.127,95.500,95.500,-0.05554,0.00000,0.00000,0.836567,ALIVE,12.566370,0.213
4,1,59.876,95.500,95.500,0.05638,0.00000,0.00000,0.836704,ALIVE,12.566370,0.221
4,2,131.124,95.500,95.500,-0.05646,0.00000,0.00000,0.836702,ALIVE,12.566370,0.221
5,1,59.879,95.500,95.500,0.05722,0.00000,0.00000,0.836690,ALIVE,12.566370,0.228
5,2,131.121,95.500,95.500,-0.05707,0.00000,0.00000,0.836689,ALIVE,12.566370,0.228
6,1,59.882,95.500,95.500,0.05791,0.00000,0.00000,0.836529,ALIVE,12.566370,0.237
6,2,131.118,95.500,95.500,-0.05798,0.00000,0.00000,0.836527,ALIVE,12.566370,0.237
7,1,59.885,95.500,95.500,0.05859,0.00000,0.00000,0.836219,ALIVE,12.566370,0.245
7,2,131.115,95.500,95.500,-0.05859,0.00000,0.00000,0.836216,ALIVE,12.566370,0.245
8,1,59.888,95.500,95.500,0.05928,0.00000,0.00000,0.835761,ALIVE,12.566370,0.252
8,2,131.112,95.500,95.500,-0.05920,0.00000,0.00000,0.835758,ALIVE,12.566370,0.252
9,1,59.891,95.500,95.500,0.05989,0.00000,0.00000,0.835157,ALIVE,12.566370,0.260
9,2,131.109,95.500,95.500,-0.05981,0.00000,0.00000,0.835155,ALIVE,12.566370,0.260
10,1,59.894,95.500,95.500,0.06050,0.00000,0.00000,0.834409,ALIVE,12.566370,0.268
10,2,131.106,95.500,95.500,-0.06042,0.00000,0.00000,0.834406,ALIVE,12.566370,0.268
11,1,59.897,95.500,95.500,0.06096,0.00000,0.00000,0.833517,ALIVE,12.566370,0.277
11,2,131.103,95.500,95.500,-0.06104,0.00000,0.00000,0.833514,ALIVE,12.566370,0.277
12,1,59.900,95.500,95.500,0.06157,0.00000,0.00000,0.832485,ALIVE,12.566370,0.285
12,2,131.100,95.500,95.500,-0.06165,0.00000,0.00000,0.832482,ALIVE,12.566370,0.285
13,1,59.903,95.500,95.500,0.06203,0.00000,0.00000,0.831318,ALIVE,12.566370,0.293
13,2,131.097,95.500,95.500,-0.06195,0.00000,0.00000,0.831314,ALIVE,12.566370,0.293
14,1,59.906,95.500,95.500,0.06248,0.00000,0.00000,0.830019,ALIVE,12.566370,0.302
14,2,131.094,95.500,95.500,-0.06256,0.00000,0.00000,0.830014,ALIVE,12.566370,0.302
15,1,59.909,95.500,95.500,0.06287,0.00000,0.00000,0.828594,ALIVE,12.566370,0.310
15,2,131.091,95.500,95.500,-0.06256,0.00000,0.00000,0.828589,ALIVE,12.566370,0.310
16,1,59.912,95.500,95.500,0.06325,0.00000,0.00000,0.827050,ALIVE,12.566370,0.318
16,2,131.088,95.500,95.500,-0.06348,0.00000,0.00000,0.827045,ALIVE,12.566370,0.318
17,1,59.915,95.500,95.500,0.06355,0.00000,0.00000,0.825395,ALIVE,12.566370,0.326
17,2,131.085,95.500,95.500,-0.06348,0.00000,0.00000,0.825391,ALIVE,12.566370,0.326
18,1,59.919,95.500,95.500,0.06386,0.00000,0.00000,0.823637,ALIVE,12.566370,0.335
18,2,131.081,95.500,95.500,-0.06378,0.00000,0.00000,0.823633,ALIVE,12.566370,0.335
19,1,59.922,95.500,95.500,0.06409,0.00000,0.00000,0.821786,ALIVE,12.566370,0.343
19,2,131.078,95.500,95.500,-0.06409,0.00000,0.00000,0.821782,ALIVE,12.566370,0.343
20,1,59.925,95.500,95.500,0.06432,0.00000,0.00000,0.819852,ALIVE,12.566370,0.351
20,2,131.075,95.500,95.500,-0.06439,0.00000,0.00000,0.819849,ALIVE,12.566370,0.351
21,1,59.928,95.500,95.500,0.06447,0.00000,0.00000,0.817848,ALIVE,12.566370,0.360
21,2,131.072,95.500,95.500,-0.06439,0.00000,0.00000,0.817845,ALIVE,12.566370,0.360
22,1,59.932,95.500,95.500,0.06454,0.00000,0.00000,0.815784,ALIVE,12.566370,0.367
22,2,131.068,95.500,95.500,-0.06439,0.00000,0.00000,0.815783,ALIVE,12.566370,0.367
23,1,59.935,95.500,95.500,0.06470,0.00000,0.00000,0.813675,ALIVE,12.566370,0.375
23,2,131.065,95.500,95.500,-0.06470,0.00000,0.00000,0.813673,ALIVE,12.566370,0.375
24,1,59.938,95.500,95.500,0.06462,0.00000,0.00000,0.811533,ALIVE,12.566370,0.383
24,2,131.062,95.500,95.500,-0.06470,0.00000,0.00000,0.811531,ALIVE,12.566370,0.383
25,1,59.941,95.500,95.500,0.06447,0.00000,0.00000,0.809371,ALIVE,12.566370,0.391
25,2,131.059,95.500,95.500,-0.06439,0.00000,0.00000,0.809369,ALIVE,12.566370,0.391
26,1,59.944,95.500,95.500,0.06439,0.00000,0.00000,0.807203,ALIVE,12.566370,0.399
26,2,131.056,95.500,95.500,-0.06439,0.00000,0.00000,0.807200,ALIVE,12.566370,0.399
27,1,59.948,95.500,95.500,0.06424,0.00000,0.00000,0.805042,ALIVE,12.566370,0.407
27,2,131.052,95.500,95.500,-0.06439,0.00000,0.00000,0.805039,ALIVE,12.566370,0.407
28,1,59.951,95.500,95.500,0.06386,0.00000,0.00000,0.802900,ALIVE,12.566370,0.415
28,2,131.049,95.500,95.500,-0.06378,0.00000,0.00000,0.802897,ALIVE,12.566370,0.415
29,1,59.954,95.500,95.500,0.06348,0.00000,0.00000,0.800791,ALIVE,12.566370,0.423
29,2,131.046,95.500,95.500,-0.06348,0.00000,0.00000,0.800788,ALIVE,12.566370,0.423
30,1,59.957,95.500,95.500,0.06310,0.00000,0.00000,0.798726,ALIVE,12.566370,0.431
30,2,131.043,95.500,95.500,-0.06287,0.00000,0.00000,0.798722,ALIVE,12.566370,0.431
31,1,59.960,95.500,95.500,0.06248,0.00000,0.00000,0.796717,ALIVE,12.566370,0.439
31,2,131.040,95.500,95.500,-0.06256,0.00000,0.00000,0.796713,ALIVE,12.566370,0.439
32,1,59.963,95.500,95.500,0.06180,0.00000,0.00000,0.794773,ALIVE,12.566370,0.447
32,2,131.037,95.500,95.500,-0.06195,0.00000,0.00000,0.794769,ALIVE,12.566370,0.447
33,1,59.966,95.500,95.500,0.06119,0.00000,0.00000,0.792904,ALIVE,12.566370,0.455
33,2,131.034,95.500,95.500,-0.06104,0.00000,0.00000,0.792899,ALIVE,12.566370,0.455
34,1,59.969,95.500,95.500,0.06035,0.00000,0.00000,0.791118,ALIVE,12.566370,0.463
34,2,131.031,95.500,95.500,-0.06012,0.00000,0.00000,0.791113,ALIVE,12.566370,0.463
35,1,59.972,95.500,95.500,0.05943,0.00000,0.00000,0.789422,ALIVE,12.566370,0.471
35,2,131.028,95.500,95.500,-0.05951,0.00000,0.00000,0.789417,ALIVE,12.566370,0.471
36,1,59.975,95.500,95.500,0.05852,0.00000,0.00000,0.787822,ALIVE,12.566370,0.479
36,2,131.025,95.500,95.500,-0.05859,0.00000,0.00000,0.787817,ALIVE,12.566370,0.479
37,1,59.978,95.500,95.500,0.05753,0.00000,0.00000,0.786323,ALIVE,12.566370,0.487
37,2,131.022,95.500,95.500,-0.05737,0.00000,0.00000,0.786318,ALIVE,12.566370,0.487
38,1,59.981,95.500,95.500,0.05661,0.00000,0.00000,0.784929,ALIVE,12.566370,0.495
38,2,131.019,95.500,95.500,-0.05676,0.00000,0.00000,0.784923,ALIVE,12.566370,0.495
39,1,59.984,95.500,95.500,0.05547,0.00000,0.00000,0.783642,ALIVE,12.566370,0.503
39,2,131.016,95.500,95.500,-0.05524,0.00000,0.00000,0.783635,ALIVE,12.566370,0.503
40,1,59.987,95.500,95.500,0.05447,0.00000,0.00000,0.782465,ALIVE,12.566370,0.511
40,2,131.013,95.500,95.500,-0.05463,0.00000,0.00000,0.782457,ALIVE,12.566370,0.511
41,1,59.989,95.500,95.500,0.05348,0.00000,0.00000,0.781398,ALIVE,12.566370,0.519
41,2,131.011,95.500,95.500,-0.05341,0.00000,0.00000,0.781390,ALIVE,12.566370,0.519
42,1,59.992,95.500,95.500,0.05241,0.00000,0.00000,0.780441,ALIVE,12.566370,0.528
42,2,131.008,95.500,95.500,-0.05249,0.00000,0.00000,0.780434,ALIVE,12.566370,0.528
43,1,59.994,95.500,95.500,0.05142,0.00000,0.00000,0.779594,ALIVE,12.566370,0.537
43,2,131.006,95.500,95.500,-0.05127,0.00000,0.00000,0.779588,ALIVE,12.566370,0.537
44,1,59.997,95.500,95.500,0.05066,0.00000,0.00000,0.778857,ALIVE,12.566370,0.545
44,2,131.003,95.500,95.500,-0.05066,0.00000,0.00000,0.778850,ALIVE,12.566370,0.545
45,1,59.999,95.500,95.500,0.04967,0.00000,0.00000,0.778226,ALIVE,12.566370,0.552
45,2,131.001,95.500,95.500,-0.04974,0.00000,0.00000,0.778219,ALIVE,12.566370,0.552
46,1,60.002,95.500,95.500,0.04898,0.00000,0.00000,0.777701,ALIVE,12.566370,0.560
46,2,130.998,95.500,95.500,-0.04883,0.00000,0.00000,0.777695,ALIVE,12.566370,0.560
47,1,60.004,95.500,95.500,0.04837,0.00000,0.00000,0.777278,ALIVE,12.566370,0.568
47,2,130.996,95.500,95.500,-0.04852,0.00000,0.00000,0.777272,ALIVE,12.566370,0.568
48,1,60.007,95.500,95.500,0.04761,0.00000,0.00000,0.776956,ALIVE,12.566370,0.576
48,2,130.993,95.500,95.500,-0.04761,0.00000,0.00000,0.776951,ALIVE,12.566370,0.576
49,1,60.009,95.500,95.500,0.04723,0.00000,0.00000,0.776731,ALIVE,12.566370,0.584
49,2,130.991,95.500,95.500,-0.04730,0.00000,0.00000,0.776727,ALIVE,12.566370,0.584
50,1,60.011,95.500,95.500,0.04692,0.00000,0.00000,0.776601,ALIVE,12.566370,0.592
50,2,130.989,95.500,95.500,-0.04669,0.00000,0.00000,0.776598,ALIVE,12.566370,0.592
51,1,60.014,95.500,95.500,0.04662,0.00000,0.00000,0.776563,ALIVE,12.566370,0.599
51,2,130.986,95.500,95.500,-0.04669,0.00000,0.00000,0.776561,ALIVE,12.566370,0.599
52,1,60.016,95.500,95.500,0.04639,0.00000,0.00000,0.776614,ALIVE,12.566370,0.607
52,2,130.984,95.500,95.500,-0.04639,0.00000,0.00000,0.776612,ALIVE,12.566370,0.607
53,1,60.018,95.500,95.500,0.04639,0.00000,0.00000,0.776751,ALIVE,12.566370,0.616
53,2,130.982,95.500,95.500,-0.04639,0.00000,0.00000,0.776749,ALIVE,12.566370,0.616
54,1,60.021,95.500,95.500,0.04639,0.00000,0.00000,0.776970,ALIVE,12.566370,0.624
54,2,130.979,95.500,95.500,-0.04639,0.00000,0.00000,0.776968,ALIVE,12.566370,0.624
