# producer=CAELIX
# when=2026-02-18T16:27:46
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09E_collidersg_transistor_binary_baseline/20260218_162745 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.4,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.4,0.0,0.0],"phase":0.0}] --collidersg-steps 5000 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_162745
# experiment=09E_collidersg_transistor_binary_baseline
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=5000
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=b3683a389e9b
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=0.461960
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
0,1,59.202,95.500,95.500,0.40000,0.00000,0.00000,1.095428,ALIVE,12.566370,0.007
0,2,131.202,95.500,95.500,-0.40000,0.00000,0.00000,1.095428,ALIVE,12.566370,0.007
1,1,59.807,95.500,95.500,12.11105,0.00000,0.00000,1.096777,ALIVE,12.566370,0.173
1,2,131.193,95.500,95.500,-0.17151,0.00000,0.00000,1.096778,ALIVE,12.566370,0.173
2,1,59.816,95.500,95.500,0.18356,0.00000,0.00000,1.096158,ALIVE,12.566370,0.183
2,2,131.184,95.500,95.500,-0.18341,0.00000,0.00000,1.096159,ALIVE,12.566370,0.183
3,1,59.826,95.500,95.500,0.19539,0.00000,0.00000,1.093592,ALIVE,12.566370,0.192
3,2,131.174,95.500,95.500,-0.19562,0.00000,0.00000,1.093594,ALIVE,12.566370,0.192
4,1,59.836,95.500,95.500,0.20653,0.00000,0.00000,1.089122,ALIVE,12.566370,0.200
4,2,131.164,95.500,95.500,-0.20630,0.00000,0.00000,1.089123,ALIVE,12.566370,0.200
5,1,59.847,95.500,95.500,0.21713,0.00000,0.00000,1.082808,ALIVE,12.566370,0.209
5,2,131.153,95.500,95.500,-0.21729,0.00000,0.00000,1.082808,ALIVE,12.566370,0.209
6,1,59.859,95.500,95.500,0.22690,0.00000,0.00000,1.074730,ALIVE,12.566370,0.217
6,2,131.141,95.500,95.500,-0.22705,0.00000,0.00000,1.074731,ALIVE,12.566370,0.217
7,1,59.870,95.500,95.500,0.23590,0.00000,0.00000,1.064984,ALIVE,12.566370,0.226
7,2,131.130,95.500,95.500,-0.23590,0.00000,0.00000,1.064984,ALIVE,12.566370,0.226
8,1,59.883,95.500,95.500,0.24406,0.00000,0.00000,1.053681,ALIVE,12.566370,0.234
8,2,131.117,95.500,95.500,-0.24414,0.00000,0.00000,1.053681,ALIVE,12.566370,0.234
9,1,59.895,95.500,95.500,0.25116,0.00000,0.00000,1.040946,ALIVE,12.566370,0.242
9,2,131.105,95.500,95.500,-0.25116,0.00000,0.00000,1.040945,ALIVE,12.566370,0.242
10,1,59.908,95.500,95.500,0.25734,0.00000,0.00000,1.026912,ALIVE,12.566370,0.250
10,2,131.092,95.500,95.500,-0.25726,0.00000,0.00000,1.026912,ALIVE,12.566370,0.250
11,1,59.921,95.500,95.500,0.26222,0.00000,0.00000,1.011724,ALIVE,12.566370,0.258
11,2,131.079,95.500,95.500,-0.26215,0.00000,0.00000,1.011725,ALIVE,12.566370,0.258
12,1,59.934,95.500,95.500,0.26634,0.00000,0.00000,0.995534,ALIVE,12.566370,0.266
12,2,131.066,95.500,95.500,-0.26642,0.00000,0.00000,0.995536,ALIVE,12.566370,0.266
13,1,59.948,95.500,95.500,0.26909,0.00000,0.00000,0.978497,ALIVE,12.566370,0.274
13,2,131.052,95.500,95.500,-0.26917,0.00000,0.00000,0.978499,ALIVE,12.566370,0.274
14,1,59.961,95.500,95.500,0.27069,0.00000,0.00000,0.960771,ALIVE,12.566370,0.282
14,2,131.039,95.500,95.500,-0.27069,0.00000,0.00000,0.960773,ALIVE,12.566370,0.282
15,1,59.975,95.500,95.500,0.27115,0.00000,0.00000,0.942515,ALIVE,12.566370,0.290
15,2,131.025,95.500,95.500,-0.27100,0.00000,0.00000,0.942518,ALIVE,12.566370,0.290
16,1,59.988,95.500,95.500,0.27046,0.00000,0.00000,0.923886,ALIVE,12.566370,0.298
16,2,131.012,95.500,95.500,-0.27069,0.00000,0.00000,0.923890,ALIVE,12.566370,0.298
17,1,60.002,95.500,95.500,0.26855,0.00000,0.00000,0.905039,ALIVE,12.566370,0.306
17,2,130.998,95.500,95.500,-0.26855,0.00000,0.00000,0.905043,ALIVE,12.566370,0.306
18,1,60.015,95.500,95.500,0.26558,0.00000,0.00000,0.886121,ALIVE,12.566370,0.313
18,2,130.985,95.500,95.500,-0.26550,0.00000,0.00000,0.886126,ALIVE,12.566370,0.313
19,1,60.028,95.500,95.500,0.26131,0.00000,0.00000,0.867275,ALIVE,12.566370,0.321
19,2,130.972,95.500,95.500,-0.26123,0.00000,0.00000,0.867280,ALIVE,12.566370,0.321
20,1,60.041,95.500,95.500,0.25612,0.00000,0.00000,0.848634,ALIVE,12.566370,0.329
20,2,130.959,95.500,95.500,-0.25635,0.00000,0.00000,0.848639,ALIVE,12.566370,0.329
21,1,60.054,95.500,95.500,0.24963,0.00000,0.00000,0.830322,ALIVE,12.566370,0.337
21,2,130.946,95.500,95.500,-0.24963,0.00000,0.00000,0.830326,ALIVE,12.566370,0.337
22,1,60.066,95.500,95.500,0.24231,0.00000,0.00000,0.812450,ALIVE,12.566370,0.345
22,2,130.934,95.500,95.500,-0.24231,0.00000,0.00000,0.812454,ALIVE,12.566370,0.345
23,1,60.855,95.500,95.500,15.77995,0.00000,0.00000,0.799894,ALIVE,12.566370,0.353
23,2,130.145,95.500,95.500,-15.78003,0.00000,0.00000,0.799906,ALIVE,12.566370,0.353
24,1,60.873,95.500,95.500,0.37201,0.00000,0.00000,0.790737,ALIVE,12.566370,0.361
24,2,130.127,95.500,95.500,-0.37201,0.00000,0.00000,0.790749,ALIVE,12.566370,0.361
25,1,60.891,95.500,95.500,0.35362,0.00000,0.00000,0.781247,ALIVE,12.566370,0.369
25,2,130.109,95.500,95.500,-0.35339,0.00000,0.00000,0.781260,ALIVE,12.566370,0.369
26,1,60.908,95.500,95.500,0.33394,0.00000,0.00000,0.771512,ALIVE,12.566370,0.377
26,2,130.092,95.500,95.500,-0.33417,0.00000,0.00000,0.771525,ALIVE,12.566370,0.377
27,1,60.923,95.500,95.500,0.31303,0.00000,0.00000,0.761620,ALIVE,12.566370,0.385
27,2,130.077,95.500,95.500,-0.31281,0.00000,0.00000,0.761634,ALIVE,12.566370,0.385
28,1,60.938,95.500,95.500,0.29114,0.00000,0.00000,0.751661,ALIVE,12.566370,0.393
28,2,130.062,95.500,95.500,-0.29114,0.00000,0.00000,0.751676,ALIVE,12.566370,0.393
29,1,60.951,95.500,95.500,0.26871,0.00000,0.00000,0.741728,ALIVE,12.566370,0.401
29,2,130.049,95.500,95.500,-0.26886,0.00000,0.00000,0.741743,ALIVE,12.566370,0.401
30,1,60.964,95.500,95.500,0.24574,0.00000,0.00000,0.731911,ALIVE,12.566370,0.409
30,2,130.036,95.500,95.500,-0.24567,0.00000,0.00000,0.731927,ALIVE,12.566370,0.409
31,1,60.975,95.500,95.500,0.22278,0.00000,0.00000,0.722298,ALIVE,12.566370,0.417
31,2,130.025,95.500,95.500,-0.22278,0.00000,0.00000,0.722315,ALIVE,12.566370,0.417
32,1,60.985,95.500,95.500,0.19989,0.00000,0.00000,0.712974,ALIVE,12.566370,0.425
32,2,130.015,95.500,95.500,-0.19989,0.00000,0.00000,0.712992,ALIVE,12.566370,0.425
33,1,60.994,95.500,95.500,0.17723,0.00000,0.00000,0.704019,ALIVE,12.566370,0.433
33,2,130.006,95.500,95.500,-0.17731,0.00000,0.00000,0.704037,ALIVE,12.566370,0.433
34,1,61.001,95.500,95.500,0.15526,0.00000,0.00000,0.695504,ALIVE,12.566370,0.441
34,2,129.999,95.500,95.500,-0.15533,0.00000,0.00000,0.695523,ALIVE,12.566370,0.441
35,1,61.008,95.500,95.500,0.13397,0.00000,0.00000,0.687497,ALIVE,12.566370,0.449
35,2,129.992,95.500,95.500,-0.13397,0.00000,0.00000,0.687517,ALIVE,12.566370,0.449
36,1,61.014,95.500,95.500,0.11375,0.00000,0.00000,0.680054,ALIVE,12.566370,0.457
36,2,129.986,95.500,95.500,-0.11383,0.00000,0.00000,0.680075,ALIVE,12.566370,0.457
37,1,61.018,95.500,95.500,0.09445,0.00000,0.00000,0.673222,ALIVE,12.566370,0.467
37,2,129.982,95.500,95.500,-0.09460,0.00000,0.00000,0.673243,ALIVE,12.566370,0.467
38,1,61.022,95.500,95.500,0.07668,0.00000,0.00000,0.667040,ALIVE,12.566370,0.475
38,2,129.978,95.500,95.500,-0.07660,0.00000,0.00000,0.667061,ALIVE,12.566370,0.475
39,1,61.025,95.500,95.500,0.06020,0.00000,0.00000,0.661535,ALIVE,12.566370,0.483
39,2,129.975,95.500,95.500,-0.06012,0.00000,0.00000,0.661556,ALIVE,12.566370,0.483
40,1,61.028,95.500,95.500,0.04524,0.00000,0.00000,0.656724,ALIVE,12.566370,0.491
40,2,129.972,95.500,95.500,-0.04547,0.00000,0.00000,0.656745,ALIVE,12.566370,0.491
41,1,61.029,95.500,95.500,0.03189,0.00000,0.00000,0.652615,ALIVE,12.566370,0.500
41,2,129.971,95.500,95.500,-0.03174,0.00000,0.00000,0.652635,ALIVE,12.566370,0.500
42,1,61.030,95.500,95.500,0.02022,0.00000,0.00000,0.649205,ALIVE,12.566370,0.507
42,2,129.970,95.500,95.500,-0.02014,0.00000,0.00000,0.649224,ALIVE,12.566370,0.507
43,1,61.031,95.500,95.500,0.01015,0.00000,0.00000,0.646484,ALIVE,12.566370,0.515
43,2,129.969,95.500,95.500,-0.01038,0.00000,0.00000,0.646502,ALIVE,12.566370,0.515
44,1,61.031,95.500,95.500,0.00191,0.00000,0.00000,0.644431,ALIVE,12.566370,0.523
44,2,129.969,95.500,95.500,-0.00183,0.00000,0.00000,0.644449,ALIVE,12.566370,0.523
45,1,61.030,95.500,95.500,-0.00458,0.00000,0.00000,0.643022,ALIVE,12.566370,0.531
45,2,129.969,95.500,95.500,0.00458,0.00000,0.00000,0.643039,ALIVE,12.566370,0.531
46,1,61.030,95.500,95.500,-0.00946,0.00000,0.00000,0.642223,ALIVE,12.566370,0.538
46,2,129.970,95.500,95.500,0.00946,0.00000,0.00000,0.642240,ALIVE,12.566370,0.538
47,1,61.029,95.500,95.500,-0.01259,0.00000,0.00000,0.642000,ALIVE,12.566370,0.546
47,2,129.971,95.500,95.500,0.01251,0.00000,0.00000,0.642015,ALIVE,12.566370,0.546
48,1,61.029,95.500,95.500,-0.01427,0.00000,0.00000,0.642312,ALIVE,12.566370,0.554
48,2,129.971,95.500,95.500,0.01434,0.00000,0.00000,0.642327,ALIVE,12.566370,0.554
49,1,61.028,95.500,95.500,-0.01434,0.00000,0.00000,0.643119,ALIVE,12.566370,0.561
49,2,129.972,95.500,95.500,0.01404,0.00000,0.00000,0.643134,ALIVE,12.566370,0.561
50,1,61.027,95.500,95.500,-0.01297,0.00000,0.00000,0.644380,ALIVE,12.566370,0.569
50,2,129.973,95.500,95.500,0.01312,0.00000,0.00000,0.644394,ALIVE,12.566370,0.569
51,1,61.027,95.500,95.500,-0.01030,0.00000,0.00000,0.646054,ALIVE,12.566370,0.577
51,2,129.973,95.500,95.500,0.01038,0.00000,0.00000,0.646067,ALIVE,12.566370,0.577
52,1,61.026,95.500,95.500,-0.00648,0.00000,0.00000,0.648103,ALIVE,12.566370,0.585
52,2,129.973,95.500,95.500,0.00641,0.00000,0.00000,0.648114,ALIVE,12.566370,0.585
53,1,61.026,95.500,95.500,-0.00160,0.00000,0.00000,0.650491,ALIVE,12.566370,0.593
53,2,129.974,95.500,95.500,0.00153,0.00000,0.00000,0.650502,ALIVE,12.566370,0.593
54,1,61.027,95.500,95.500,0.00412,0.00000,0.00000,0.653186,ALIVE,12.566370,0.601
54,2,129.973,95.500,95.500,-0.00427,0.00000,0.00000,0.653196,ALIVE,12.566370,0.601
55,1,61.027,95.500,95.500,0.01060,0.00000,0.00000,0.656160,ALIVE,12.566370,0.609
55,2,129.973,95.500,95.500,-0.01068,0.00000,0.00000,0.656170,ALIVE,12.566370,0.609
56,1,61.028,95.500,95.500,0.01785,0.00000,0.00000,0.659388,ALIVE,12.566370,0.617
56,2,129.972,95.500,95.500,-0.01770,0.00000,0.00000,0.659397,ALIVE,12.566370,0.617
57,1,61.029,95.500,95.500,0.02541,0.00000,0.00000,0.662849,ALIVE,12.566370,0.625
57,2,129.971,95.500,95.500,-0.02533,0.00000,0.00000,0.662858,ALIVE,12.566370,0.625
58,1,61.031,95.500,95.500,0.03326,0.00000,0.00000,0.666529,ALIVE,12.566370,0.632
58,2,129.969,95.500,95.500,-0.03357,0.00000,0.00000,0.666536,ALIVE,12.566370,0.632
