# producer=CAELIX
# when=2026-02-18T16:32:06
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09F_collidersg_transistor_binary_phasetest/20260218_163205 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.4,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.4,0.0,0.0],"phase":3.14159265359}] --collidersg-steps 5000 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_163205
# experiment=09F_collidersg_transistor_binary_phasetest
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=5000
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07333fa35542
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=0.461979
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
0,1,59.798,95.500,95.500,0.40000,0.00000,0.00000,1.095428,ALIVE,12.566370,0.007
0,2,131.798,95.500,95.500,-0.40000,0.00000,0.00000,1.095428,ALIVE,12.566370,0.007
1,1,59.807,95.500,95.500,0.17128,0.00000,0.00000,1.096778,ALIVE,12.566370,0.178
1,2,131.193,95.500,95.500,-12.11121,0.00000,0.00000,1.096778,ALIVE,12.566370,0.178
2,1,59.816,95.500,95.500,0.18364,0.00000,0.00000,1.096159,ALIVE,12.566370,0.188
2,2,131.184,95.500,95.500,-0.18341,0.00000,0.00000,1.096160,ALIVE,12.566370,0.188
3,1,59.826,95.500,95.500,0.19531,0.00000,0.00000,1.093594,ALIVE,12.566370,0.196
3,2,131.174,95.500,95.500,-0.19562,0.00000,0.00000,1.093596,ALIVE,12.566370,0.196
4,1,59.836,95.500,95.500,0.20653,0.00000,0.00000,1.089123,ALIVE,12.566370,0.205
4,2,131.164,95.500,95.500,-0.20630,0.00000,0.00000,1.089126,ALIVE,12.566370,0.205
5,1,59.847,95.500,95.500,0.21713,0.00000,0.00000,1.082808,ALIVE,12.566370,0.214
5,2,131.153,95.500,95.500,-0.21729,0.00000,0.00000,1.082812,ALIVE,12.566370,0.214
6,1,59.859,95.500,95.500,0.22690,0.00000,0.00000,1.074731,ALIVE,12.566370,0.223
6,2,131.141,95.500,95.500,-0.22705,0.00000,0.00000,1.074736,ALIVE,12.566370,0.223
7,1,59.870,95.500,95.500,0.23590,0.00000,0.00000,1.064985,ALIVE,12.566370,0.231
7,2,131.130,95.500,95.500,-0.23590,0.00000,0.00000,1.064990,ALIVE,12.566370,0.231
8,1,59.883,95.500,95.500,0.24406,0.00000,0.00000,1.053682,ALIVE,12.566370,0.240
8,2,131.117,95.500,95.500,-0.24414,0.00000,0.00000,1.053687,ALIVE,12.566370,0.240
9,1,59.895,95.500,95.500,0.25116,0.00000,0.00000,1.040947,ALIVE,12.566370,0.249
9,2,131.105,95.500,95.500,-0.25116,0.00000,0.00000,1.040952,ALIVE,12.566370,0.249
10,1,59.908,95.500,95.500,0.25726,0.00000,0.00000,1.026914,ALIVE,12.566370,0.260
10,2,131.092,95.500,95.500,-0.25726,0.00000,0.00000,1.026917,ALIVE,12.566370,0.260
11,1,59.921,95.500,95.500,0.26230,0.00000,0.00000,1.011726,ALIVE,12.566370,0.270
11,2,131.079,95.500,95.500,-0.26215,0.00000,0.00000,1.011730,ALIVE,12.566370,0.270
12,1,59.934,95.500,95.500,0.26627,0.00000,0.00000,0.995536,ALIVE,12.566370,0.278
12,2,131.066,95.500,95.500,-0.26642,0.00000,0.00000,0.995540,ALIVE,12.566370,0.278
13,1,59.948,95.500,95.500,0.26909,0.00000,0.00000,0.978498,ALIVE,12.566370,0.286
13,2,131.052,95.500,95.500,-0.26917,0.00000,0.00000,0.978501,ALIVE,12.566370,0.286
14,1,59.961,95.500,95.500,0.27069,0.00000,0.00000,0.960772,ALIVE,12.566370,0.294
14,2,131.039,95.500,95.500,-0.27069,0.00000,0.00000,0.960774,ALIVE,12.566370,0.294
15,1,59.975,95.500,95.500,0.27122,0.00000,0.00000,0.942516,ALIVE,12.566370,0.302
15,2,131.025,95.500,95.500,-0.27130,0.00000,0.00000,0.942517,ALIVE,12.566370,0.302
16,1,59.988,95.500,95.500,0.27046,0.00000,0.00000,0.923888,ALIVE,12.566370,0.310
16,2,131.012,95.500,95.500,-0.27039,0.00000,0.00000,0.923888,ALIVE,12.566370,0.310
17,1,60.002,95.500,95.500,0.26863,0.00000,0.00000,0.905041,ALIVE,12.566370,0.319
17,2,130.998,95.500,95.500,-0.26855,0.00000,0.00000,0.905040,ALIVE,12.566370,0.319
18,1,60.015,95.500,95.500,0.26550,0.00000,0.00000,0.886124,ALIVE,12.566370,0.327
18,2,130.985,95.500,95.500,-0.26550,0.00000,0.00000,0.886122,ALIVE,12.566370,0.327
19,1,60.028,95.500,95.500,0.26138,0.00000,0.00000,0.867277,ALIVE,12.566370,0.336
19,2,130.972,95.500,95.500,-0.26154,0.00000,0.00000,0.867275,ALIVE,12.566370,0.336
20,1,60.041,95.500,95.500,0.25604,0.00000,0.00000,0.848636,ALIVE,12.566370,0.344
20,2,130.959,95.500,95.500,-0.25604,0.00000,0.00000,0.848634,ALIVE,12.566370,0.344
21,1,60.054,95.500,95.500,0.24971,0.00000,0.00000,0.830323,ALIVE,12.566370,0.352
21,2,130.946,95.500,95.500,-0.24963,0.00000,0.00000,0.830320,ALIVE,12.566370,0.352
22,1,60.066,95.500,95.500,0.24231,0.00000,0.00000,0.812452,ALIVE,12.566370,0.360
22,2,130.934,95.500,95.500,-0.24231,0.00000,0.00000,0.812449,ALIVE,12.566370,0.360
23,1,60.855,95.500,95.500,15.77988,0.00000,0.00000,0.799891,ALIVE,12.566370,0.369
23,2,130.145,95.500,95.500,-15.78003,0.00000,0.00000,0.799912,ALIVE,12.566370,0.369
24,1,60.873,95.500,95.500,0.37201,0.00000,0.00000,0.790734,ALIVE,12.566370,0.376
24,2,130.127,95.500,95.500,-0.37201,0.00000,0.00000,0.790755,ALIVE,12.566370,0.376
25,1,60.891,95.500,95.500,0.35362,0.00000,0.00000,0.781245,ALIVE,12.566370,0.385
25,2,130.109,95.500,95.500,-0.35370,0.00000,0.00000,0.781266,ALIVE,12.566370,0.385
26,1,60.908,95.500,95.500,0.33394,0.00000,0.00000,0.771511,ALIVE,12.566370,0.393
26,2,130.092,95.500,95.500,-0.33386,0.00000,0.00000,0.771531,ALIVE,12.566370,0.393
27,1,60.923,95.500,95.500,0.31303,0.00000,0.00000,0.761620,ALIVE,12.566370,0.401
27,2,130.077,95.500,95.500,-0.31311,0.00000,0.00000,0.761639,ALIVE,12.566370,0.401
28,1,60.938,95.500,95.500,0.29121,0.00000,0.00000,0.751661,ALIVE,12.566370,0.409
28,2,130.062,95.500,95.500,-0.29114,0.00000,0.00000,0.751680,ALIVE,12.566370,0.409
29,1,60.951,95.500,95.500,0.26871,0.00000,0.00000,0.741730,ALIVE,12.566370,0.417
29,2,130.049,95.500,95.500,-0.26855,0.00000,0.00000,0.741747,ALIVE,12.566370,0.417
30,1,60.964,95.500,95.500,0.24574,0.00000,0.00000,0.731914,ALIVE,12.566370,0.425
30,2,130.036,95.500,95.500,-0.24597,0.00000,0.00000,0.731930,ALIVE,12.566370,0.425
31,1,60.975,95.500,95.500,0.22278,0.00000,0.00000,0.722301,ALIVE,12.566370,0.433
31,2,130.025,95.500,95.500,-0.22278,0.00000,0.00000,0.722318,ALIVE,12.566370,0.433
32,1,60.985,95.500,95.500,0.19989,0.00000,0.00000,0.712979,ALIVE,12.566370,0.441
32,2,130.015,95.500,95.500,-0.19989,0.00000,0.00000,0.712994,ALIVE,12.566370,0.441
33,1,60.994,95.500,95.500,0.17723,0.00000,0.00000,0.704025,ALIVE,12.566370,0.449
33,2,130.006,95.500,95.500,-0.17731,0.00000,0.00000,0.704038,ALIVE,12.566370,0.449
34,1,61.001,95.500,95.500,0.15526,0.00000,0.00000,0.695512,ALIVE,12.566370,0.457
34,2,129.999,95.500,95.500,-0.15533,0.00000,0.00000,0.695523,ALIVE,12.566370,0.457
35,1,61.008,95.500,95.500,0.13397,0.00000,0.00000,0.687505,ALIVE,12.566370,0.465
35,2,129.992,95.500,95.500,-0.13397,0.00000,0.00000,0.687516,ALIVE,12.566370,0.465
36,1,61.014,95.500,95.500,0.11375,0.00000,0.00000,0.680061,ALIVE,12.566370,0.473
36,2,129.986,95.500,95.500,-0.11353,0.00000,0.00000,0.680073,ALIVE,12.566370,0.473
37,1,61.018,95.500,95.500,0.09453,0.00000,0.00000,0.673229,ALIVE,12.566370,0.481
37,2,129.982,95.500,95.500,-0.09460,0.00000,0.00000,0.673242,ALIVE,12.566370,0.481
38,1,61.022,95.500,95.500,0.07660,0.00000,0.00000,0.667046,ALIVE,12.566370,0.489
38,2,129.978,95.500,95.500,-0.07660,0.00000,0.00000,0.667060,ALIVE,12.566370,0.489
39,1,61.025,95.500,95.500,0.06020,0.00000,0.00000,0.661539,ALIVE,12.566370,0.497
39,2,129.975,95.500,95.500,-0.06042,0.00000,0.00000,0.661555,ALIVE,12.566370,0.497
40,1,61.028,95.500,95.500,0.04524,0.00000,0.00000,0.656727,ALIVE,12.566370,0.506
40,2,129.972,95.500,95.500,-0.04517,0.00000,0.00000,0.656745,ALIVE,12.566370,0.506
41,1,61.029,95.500,95.500,0.03189,0.00000,0.00000,0.652616,ALIVE,12.566370,0.514
41,2,129.971,95.500,95.500,-0.03174,0.00000,0.00000,0.652637,ALIVE,12.566370,0.514
42,1,61.030,95.500,95.500,0.02014,0.00000,0.00000,0.649204,ALIVE,12.566370,0.522
42,2,129.970,95.500,95.500,-0.02045,0.00000,0.00000,0.649227,ALIVE,12.566370,0.522
43,1,61.031,95.500,95.500,0.01015,0.00000,0.00000,0.646482,ALIVE,12.566370,0.530
43,2,129.969,95.500,95.500,-0.01007,0.00000,0.00000,0.646506,ALIVE,12.566370,0.530
44,1,61.031,95.500,95.500,0.00198,0.00000,0.00000,0.644427,ALIVE,12.566370,0.539
44,2,129.969,95.500,95.500,-0.00214,0.00000,0.00000,0.644454,ALIVE,12.566370,0.539
45,1,61.030,95.500,95.500,-0.00465,0.00000,0.00000,0.643016,ALIVE,12.566370,0.548
45,2,129.969,95.500,95.500,0.00458,0.00000,0.00000,0.643044,ALIVE,12.566370,0.548
46,1,61.030,95.500,95.500,-0.00946,0.00000,0.00000,0.642217,ALIVE,12.566370,0.556
46,2,129.970,95.500,95.500,0.00946,0.00000,0.00000,0.642245,ALIVE,12.566370,0.556
47,1,61.029,95.500,95.500,-0.01266,0.00000,0.00000,0.641993,ALIVE,12.566370,0.565
47,2,129.971,95.500,95.500,0.01282,0.00000,0.00000,0.642021,ALIVE,12.566370,0.565
48,1,61.029,95.500,95.500,-0.01419,0.00000,0.00000,0.642304,ALIVE,12.566370,0.573
48,2,129.971,95.500,95.500,0.01404,0.00000,0.00000,0.642333,ALIVE,12.566370,0.573
49,1,61.028,95.500,95.500,-0.01434,0.00000,0.00000,0.643111,ALIVE,12.566370,0.581
49,2,129.972,95.500,95.500,0.01434,0.00000,0.00000,0.643139,ALIVE,12.566370,0.581
50,1,61.027,95.500,95.500,-0.01289,0.00000,0.00000,0.644373,ALIVE,12.566370,0.589
50,2,129.973,95.500,95.500,0.01282,0.00000,0.00000,0.644399,ALIVE,12.566370,0.589
51,1,61.027,95.500,95.500,-0.01038,0.00000,0.00000,0.646048,ALIVE,12.566370,0.597
51,2,129.973,95.500,95.500,0.01038,0.00000,0.00000,0.646071,ALIVE,12.566370,0.597
52,1,61.026,95.500,95.500,-0.00648,0.00000,0.00000,0.648097,ALIVE,12.566370,0.605
52,2,129.973,95.500,95.500,0.00641,0.00000,0.00000,0.648119,ALIVE,12.566370,0.605
53,1,61.026,95.500,95.500,-0.00160,0.00000,0.00000,0.650486,ALIVE,12.566370,0.613
53,2,129.974,95.500,95.500,0.00183,0.00000,0.00000,0.650505,ALIVE,12.566370,0.613
54,1,61.027,95.500,95.500,0.00404,0.00000,0.00000,0.653182,ALIVE,12.566370,0.622
54,2,129.973,95.500,95.500,-0.00427,0.00000,0.00000,0.653198,ALIVE,12.566370,0.622
55,1,61.027,95.500,95.500,0.01076,0.00000,0.00000,0.656157,ALIVE,12.566370,0.630
55,2,129.973,95.500,95.500,-0.01068,0.00000,0.00000,0.656170,ALIVE,12.566370,0.630
56,1,61.028,95.500,95.500,0.01778,0.00000,0.00000,0.659385,ALIVE,12.566370,0.638
56,2,129.972,95.500,95.500,-0.01801,0.00000,0.00000,0.659396,ALIVE,12.566370,0.638
57,1,61.029,95.500,95.500,0.02533,0.00000,0.00000,0.662848,ALIVE,12.566370,0.646
57,2,129.971,95.500,95.500,-0.02533,0.00000,0.00000,0.662856,ALIVE,12.566370,0.646
58,1,61.031,95.500,95.500,0.03326,0.00000,0.00000,0.666529,ALIVE,12.566370,0.654
58,2,129.969,95.500,95.500,-0.03326,0.00000,0.00000,0.666533,ALIVE,12.566370,0.654
59,1,61.033,95.500,95.500,0.04135,0.00000,0.00000,0.670415,ALIVE,12.566370,0.662
59,2,129.967,95.500,95.500,-0.04120,0.00000,0.00000,0.670417,ALIVE,12.566370,0.662
60,1,61.035,95.500,95.500,0.04944,0.00000,0.00000,0.674496,ALIVE,12.566370,0.670
60,2,129.964,95.500,95.500,-0.04974,0.00000,0.00000,0.674496,ALIVE,12.566370,0.670
61,1,61.038,95.500,95.500,0.05760,0.00000,0.00000,0.678763,ALIVE,12.566370,0.679
61,2,129.962,95.500,95.500,-0.05737,0.00000,0.00000,0.678761,ALIVE,12.566370,0.679
62,1,61.042,95.500,95.500,0.06538,0.00000,0.00000,0.683212,ALIVE,12.566370,0.687
62,2,129.958,95.500,95.500,-0.06561,0.00000,0.00000,0.683209,ALIVE,12.566370,0.687
63,1,61.045,95.500,95.500,0.07309,0.00000,0.00000,0.687837,ALIVE,12.566370,0.695
63,2,129.955,95.500,95.500,-0.07294,0.00000,0.00000,0.687834,ALIVE,12.566370,0.695
64,1,61.049,95.500,95.500,0.08041,0.00000,0.00000,0.692632,ALIVE,12.566370,0.704
64,2,129.951,95.500,95.500,-0.08057,0.00000,0.00000,0.692628,ALIVE,12.566370,0.704
65,1,61.054,95.500,95.500,0.08743,0.00000,0.00000,0.697589,ALIVE,12.566370,0.712
65,2,129.946,95.500,95.500,-0.08728,0.00000,0.00000,0.697585,ALIVE,12.566370,0.712
66,1,61.058,95.500,95.500,0.09399,0.00000,0.00000,0.702701,ALIVE,12.566370,0.721
66,2,129.942,95.500,95.500,-0.09399,0.00000,0.00000,0.702697,ALIVE,12.566370,0.721
67,1,61.063,95.500,95.500,0.10017,0.00000,0.00000,0.707956,ALIVE,12.566370,0.729
67,2,129.937,95.500,95.500,-0.10040,0.00000,0.00000,0.707952,ALIVE,12.566370,0.729
68,1,61.069,95.500,95.500,0.10597,0.00000,0.00000,0.713342,ALIVE,12.566370,0.738
68,2,129.931,95.500,95.500,-0.10590,0.00000,0.00000,0.713338,ALIVE,12.566370,0.738
69,1,61.074,95.500,95.500,0.11139,0.00000,0.00000,0.718841,ALIVE,12.566370,0.746
69,2,129.926,95.500,95.500,-0.11139,0.00000,0.00000,0.718837,ALIVE,12.566370,0.746
70,1,61.080,95.500,95.500,0.11642,0.00000,0.00000,0.724433,ALIVE,12.566370,0.753
70,2,129.920,95.500,95.500,-0.11658,0.00000,0.00000,0.724429,ALIVE,12.566370,0.753
71,1,61.086,95.500,95.500,0.12108,0.00000,0.00000,0.730096,ALIVE,12.566370,0.761
71,2,129.914,95.500,95.500,-0.12115,0.00000,0.00000,0.730091,ALIVE,12.566370,0.761
72,1,61.092,95.500,95.500,0.12550,0.00000,0.00000,0.735803,ALIVE,12.566370,0.769
72,2,129.908,95.500,95.500,-0.12543,0.00000,0.00000,0.735798,ALIVE,12.566370,0.769
73,1,61.099,95.500,95.500,0.12955,0.00000,0.00000,0.741526,ALIVE,12.566370,0.777
73,2,129.901,95.500,95.500,-0.12970,0.00000,0.00000,0.741520,ALIVE,12.566370,0.777
74,1,61.106,95.500,95.500,0.13344,0.00000,0.00000,0.747233,ALIVE,12.566370,0.785
74,2,129.894,95.500,95.500,-0.13336,0.00000,0.00000,0.747227,ALIVE,12.566370,0.785
75,1,61.112,95.500,95.500,0.13725,0.00000,0.00000,0.752893,ALIVE,12.566370,0.793
75,2,129.887,95.500,95.500,-0.13733,0.00000,0.00000,0.752885,ALIVE,12.566370,0.793
76,1,61.119,95.500,95.500,0.14076,0.00000,0.00000,0.758471,ALIVE,12.566370,0.801
76,2,129.880,95.500,95.500,-0.14069,0.00000,0.00000,0.758461,ALIVE,12.566370,0.801
77,1,61.127,95.500,95.500,0.14427,0.00000,0.00000,0.763935,ALIVE,12.566370,0.809
77,2,129.873,95.500,95.500,-0.14435,0.00000,0.00000,0.763922,ALIVE,12.566370,0.809
78,1,61.870,95.500,95.500,14.86755,0.00000,0.00000,0.770843,ALIVE,12.566370,0.817
78,2,129.130,95.500,95.500,-14.86755,0.00000,0.00000,0.770865,ALIVE,12.566370,0.817
79,1,61.876,95.500,95.500,0.12482,0.00000,0.00000,0.779357,ALIVE,12.566370,0.825
79,2,129.124,95.500,95.500,-0.12482,0.00000,0.00000,0.779379,ALIVE,12.566370,0.825
80,1,61.883,95.500,95.500,0.13016,0.00000,0.00000,0.787930,ALIVE,12.566370,0.833
80,2,129.117,95.500,95.500,-0.13031,0.00000,0.00000,0.787951,ALIVE,12.566370,0.833
81,1,61.890,95.500,95.500,0.13504,0.00000,0.00000,0.796541,ALIVE,12.566370,0.841
81,2,129.110,95.500,95.500,-0.13489,0.00000,0.00000,0.796561,ALIVE,12.566370,0.841
82,1,61.897,95.500,95.500,0.13954,0.00000,0.00000,0.805162,ALIVE,12.566370,0.849
82,2,129.103,95.500,95.500,-0.13977,0.00000,0.00000,0.805182,ALIVE,12.566370,0.849
83,1,61.904,95.500,95.500,0.14389,0.00000,0.00000,0.813766,ALIVE,12.566370,0.857
83,2,129.096,95.500,95.500,-0.14374,0.00000,0.00000,0.813786,ALIVE,12.566370,0.857
84,1,61.911,95.500,95.500,0.14786,0.00000,0.00000,0.822318,ALIVE,12.566370,0.865
84,2,129.089,95.500,95.500,-0.14801,0.00000,0.00000,0.822337,ALIVE,12.566370,0.865
85,1,61.919,95.500,95.500,0.15167,0.00000,0.00000,0.830784,ALIVE,12.566370,0.873
85,2,129.081,95.500,95.500,-0.15167,0.00000,0.00000,0.830803,ALIVE,12.566370,0.873
86,1,61.926,95.500,95.500,0.15549,0.00000,0.00000,0.839127,ALIVE,12.566370,0.881
86,2,129.073,95.500,95.500,-0.15564,0.00000,0.00000,0.839146,ALIVE,12.566370,0.881
87,1,61.934,95.500,95.500,0.15900,0.00000,0.00000,0.847307,ALIVE,12.566370,0.889
87,2,129.065,95.500,95.500,-0.15900,0.00000,0.00000,0.847325,ALIVE,12.566370,0.889
88,1,61.943,95.500,95.500,0.16266,0.00000,0.00000,0.855288,ALIVE,12.566370,0.897
88,2,129.057,95.500,95.500,-0.16266,0.00000,0.00000,0.855304,ALIVE,12.566370,0.897
89,1,61.951,95.500,95.500,0.16609,0.00000,0.00000,0.863028,ALIVE,12.566370,0.906
89,2,129.049,95.500,95.500,-0.16602,0.00000,0.00000,0.863042,ALIVE,12.566370,0.906
90,1,61.959,95.500,95.500,0.16960,0.00000,0.00000,0.870490,ALIVE,12.566370,0.914
90,2,129.041,95.500,95.500,-0.16968,0.00000,0.00000,0.870502,ALIVE,12.566370,0.914
91,1,61.968,95.500,95.500,0.17311,0.00000,0.00000,0.877638,ALIVE,12.566370,0.922
91,2,129.032,95.500,95.500,-0.17334,0.00000,0.00000,0.877646,ALIVE,12.566370,0.922
92,1,61.977,95.500,95.500,0.17647,0.00000,0.00000,0.884437,ALIVE,12.566370,0.930
92,2,129.023,95.500,95.500,-0.17639,0.00000,0.00000,0.884442,ALIVE,12.566370,0.930
93,1,61.986,95.500,95.500,0.17998,0.00000,0.00000,0.890855,ALIVE,12.566370,0.939
93,2,129.014,95.500,95.500,-0.18005,0.00000,0.00000,0.890858,ALIVE,12.566370,0.939
