# producer=CAELIX
# when=2026-02-18T18:21:51
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09G_collidersg_transistor_calibration/20260218_182150 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.52,0.0,0.0],"phase":0.0}] --collidersg-steps 1500 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.08 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_182150
# experiment=09G_collidersg_transistor_calibration
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.08
# asset_sg_k=nan
# sg_k_inferred=0
# steps=1500
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=1
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07a22c1c26c4
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=1.477914
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
0,1,59.426,95.500,95.500,0.52000,0.00000,0.00000,2.194154,ALIVE,6.283185,0.007
1,1,59.598,95.500,95.500,3.43384,0.00000,0.00000,2.214087,ALIVE,6.283185,0.171
2,1,59.625,95.500,95.500,0.53619,0.00000,0.00000,2.213784,ALIVE,6.283185,0.180
3,1,59.654,95.500,95.500,0.58403,0.00000,0.00000,2.193240,ALIVE,6.283185,0.192
4,1,59.686,95.500,95.500,0.63232,0.00000,0.00000,2.152994,ALIVE,6.283185,0.205
5,1,59.720,95.500,95.500,0.68169,0.00000,0.00000,2.094090,ALIVE,6.283185,0.212
6,1,59.756,95.500,95.500,0.73212,0.00000,0.00000,2.018033,ALIVE,6.283185,0.219
7,1,59.796,95.500,95.500,0.78423,0.00000,0.00000,1.926717,ALIVE,6.283185,0.225
8,1,59.837,95.500,95.500,0.83755,0.00000,0.00000,1.822351,ALIVE,6.283185,0.232
9,1,59.882,95.500,95.500,0.89211,0.00000,0.00000,1.707379,ALIVE,6.283185,0.239
10,1,59.929,95.500,95.500,0.94742,0.00000,0.00000,1.584399,ALIVE,6.283185,0.247
11,1,59.980,95.500,95.500,1.00273,0.00000,0.00000,1.456085,ALIVE,6.283185,0.254
12,1,60.589,95.500,95.500,12.19704,0.00000,0.00000,1.469667,ALIVE,6.283185,0.261
13,1,60.688,95.500,95.500,1.96938,0.00000,0.00000,1.499817,ALIVE,6.283185,0.269
14,1,60.787,95.500,95.500,1.98631,0.00000,0.00000,1.515905,ALIVE,6.283185,0.276
15,1,60.886,95.500,95.500,1.97655,0.00000,0.00000,1.517343,ALIVE,6.283185,0.283
16,1,60.983,95.500,95.500,1.94008,0.00000,0.00000,1.503992,ALIVE,6.283185,0.290
17,1,61.077,95.500,95.500,1.87813,0.00000,0.00000,1.476146,ALIVE,6.283185,0.296
