# producer=CAELIX
# when=2026-02-18T20:59:13
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09H_collidersg_transistor_tjunction/20260218_205912 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.52,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[120,60,96],"vel":[0.0,0.0,0.0],"phase":0.0,"track_only":true}] --collidersg-steps 2500 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.08 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --collidersg-wire-geom t_junction --collidersg-junction-x 120 --collidersg-branch-len 48 --collidersg-branch-thick 2 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_205912
# experiment=09H_collidersg_transistor_tjunction
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.08
# asset_sg_k=nan
# sg_k_inferred=0
# steps=2500
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# wire_geom=t_junction
# junction_x=120
# branch_len=48
# branch_thick=2
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07d70e47f69e
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_geom=t_junction wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 junction_x=120 branch_len=48 branch_thick=2 domain_mask_enabled=1
# vel0_abs_max=1.477914
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s,in_trunk,in_branch_pos,in_branch_neg,in_branch,dy_from_trunk_c
0,1,59.426,96.000,96.000,0.52000,0.00000,0.00000,2.194154,ALIVE,6.283185,0.008,1,0,0,0,0.500
0,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.008,0,0,1,1,-35.500
1,1,59.598,96.000,96.000,3.43384,0.00000,0.00000,2.214087,ALIVE,6.283185,0.173,1,0,0,0,0.500
1,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.173,0,0,1,1,-35.500
2,1,59.625,96.000,96.000,0.53619,0.00000,0.00000,2.213784,ALIVE,6.283185,0.183,1,0,0,0,0.500
2,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.183,0,0,1,1,-35.500
3,1,59.654,96.000,96.000,0.58403,0.00000,0.00000,2.193240,ALIVE,6.283185,0.192,1,0,0,0,0.500
3,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.192,0,0,1,1,-35.500
4,1,59.686,96.000,96.000,0.63232,0.00000,0.00000,2.152994,ALIVE,6.283185,0.200,1,0,0,0,0.500
4,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.200,0,0,1,1,-35.500
5,1,59.720,96.000,96.000,0.68169,0.00000,0.00000,2.094090,ALIVE,6.283185,0.208,1,0,0,0,0.500
5,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.208,0,0,1,1,-35.500
6,1,59.756,96.000,96.000,0.73212,0.00000,0.00000,2.018033,ALIVE,6.283185,0.216,1,0,0,0,0.500
6,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.216,0,0,1,1,-35.500
7,1,59.796,96.000,96.000,0.78423,0.00000,0.00000,1.926717,ALIVE,6.283185,0.223,1,0,0,0,0.500
7,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.223,0,0,1,1,-35.500
8,1,59.837,96.000,96.000,0.83755,0.00000,0.00000,1.822351,ALIVE,6.283185,0.233,1,0,0,0,0.500
8,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.233,0,0,1,1,-35.500
9,1,59.882,96.000,96.000,0.89211,0.00000,0.00000,1.707379,ALIVE,6.283185,0.247,1,0,0,0,0.500
9,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.247,0,0,1,1,-35.500
10,1,59.929,96.000,96.000,0.94742,0.00000,0.00000,1.584399,ALIVE,6.283185,0.256,1,0,0,0,0.500
10,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.256,0,0,1,1,-35.500
11,1,59.980,96.000,96.000,1.00273,0.00000,0.00000,1.456085,ALIVE,6.283185,0.265,1,0,0,0,0.500
11,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.265,0,0,1,1,-35.500
12,1,60.589,96.000,96.000,12.19704,0.00000,0.00000,1.469667,ALIVE,6.283185,0.273,1,0,0,0,0.500
12,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.273,0,0,1,1,-35.500
13,1,60.688,96.000,96.000,1.96938,0.00000,0.00000,1.499817,ALIVE,6.283185,0.280,1,0,0,0,0.500
13,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.280,0,0,1,1,-35.500
14,1,60.787,96.000,96.000,1.98631,0.00000,0.00000,1.515905,ALIVE,6.283185,0.288,1,0,0,0,0.500
14,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.288,0,0,1,1,-35.500
15,1,60.886,96.000,96.000,1.97655,0.00000,0.00000,1.517343,ALIVE,6.283185,0.296,1,0,0,0,0.500
15,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.296,0,0,1,1,-35.500
16,1,60.983,96.000,96.000,1.94008,0.00000,0.00000,1.503992,ALIVE,6.283185,0.304,1,0,0,0,0.500
16,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.304,0,0,1,1,-35.500
17,1,61.077,96.000,96.000,1.87813,0.00000,0.00000,1.476146,ALIVE,6.283185,0.312,1,0,0,0,0.500
17,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.312,0,0,1,1,-35.500
18,1,61.167,96.000,96.000,1.79352,0.00000,0.00000,1.434504,ALIVE,6.283185,0.320,1,0,0,0,0.500
18,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.320,0,0,1,1,-35.500
19,1,61.251,96.000,96.000,1.68900,0.00000,0.00000,1.380134,ALIVE,6.283185,0.328,1,0,0,0,0.500
